Abaissement    ekèïli
abaissements    bikèïli
abaisser    ependassa
faire descendre    esundassa
faire descendre    esukala
s'abaisser    ekèïe si o-mènè
abandon    egnagili
abandons    bignagili
abandonner    egnaga
abasourdir    ediba matchuï
abattement    evatili
abattements    bivatili
abatteur    mulembi
abatteur d'hommes    mulembi
assassin    mulembi
assassins    mulembi
abattre    elèmbè
renverser    elèmbè
s'abattre    ibua
le boeuf s'est abattu    gnari abuï
se décourager    evata
il est abattu    avati
abcès    libabala
abcès    ebuma
abdication    egnagili
abdications    egnagili
abdiquer    egnaga
abdiquer le commandant    egnaga buyumana
abdomen    moï
ventre    moï
abdomens   mioï
ventres    mioï
abeille    gnugi
abeilles    bagnugi
abhorrer    pata
abîme    edôko
abîmer    ebungasa
abîmer    ebèssa
s'engloutir    epudana
tomber dans un abîme    epudana ghu tshoa edôko
abjurer    egnaga
aboiement    ebegili
aboiements    bibegili
abolir    emassa
abominable    mbubi bu bunènè
abondance    ekunili
abondances    bikunili
abondant    kuna
abonder    ekuna
d'abord    kábanda
manger d'abord    kábanda edja
manger    edja
aborder    edukana
faire aborder    edukassa
se terminer à    easika
aboutir     easika
aboyer     ebèga
abréger    ekubassa
abreuver    egnussa
abri    eshuèmini
abris   bishèmini
abri contre la plui    eshuèmini si bu shuèmine bula
abriter    eshuèmine
abroger    emassa
abroger une loi    emassa ngidi
abruti    butchuguru
abrutie    butchuguru
abrutir    ekalala butchuguru
s'absenter    eyènde
absolution    mamboma minisso lèlè mu edimassa batu bapeshe
absoudre    edimassa bapeshe
s'abstenir    ebissa
abuser    erangi
il abuse de son autorité    ndè rangi na mukumu a ndè
accabler    evata
accabler    ebaga
je suis accablé de sommeil    solo baga me
accepter    bo
accepter    ebongo
accepter    eyala
acclimation    eïkili
acclimations    bikili
s'acclimater    eïka
accomodement    edukissi
accomodements    bidukissi
accomoder    edukana
accomoder    evovusso
acompagnement    evilili
accompagnements   bivilii
accompagner    evila
accomplir    emanassa
accomplissement    emanissi
accomplissements   bimanissi
accorder    evè
donner    evè
consentir    eyala
s'accorder    Ngodu
vivre en bonne intelligence    li li mutèma mu mòsi
accoster    ebuèlassa
accoster    etshèkèsse
accoucher    ebota
accouchement    ebotili
acccouchements    bibotili
s'accouder    eduma
accourcir    ekubassa
accourir    eyanga
accourir    eya tshua-tshua
accoutumer    eïka
accrocher    ebaniaga
s'accrocher    ekatana
accroissement    ekunissi
accroissements    bikunissi
accroître    ekunassa
s'accroupir    esuma-nkuki
accumuler    eputassa bela ghu ediga mô
accuser    esala
s'accuser    emèmè
acerbe    ngani
achat    esumbili
achats    bisumbili
acheter    esumba
acheteur    musumbi
achever    emanassa
acide    ngani
acquérir    ebaga
acquiescer    eyala
acquiescer    etondo
acquittement    efutili
acquittements    bifutili
acauitter    efuta
action    diambo
actions    madiambo
un travail    essadu
travaux    bissadu
adapter    eyèbisse
addition    eputissi
additions    biputissi
additionner    eputassa mitalou
adieu    me yende
adjoindre    ebuèsse
admirable    bubuè bu bunènè
admiration    ekimili
admirations    bikimili
admirer    ekèma
adolescent    liuandji
adolescente    liuandji
adoration    ekoumissi
adorations    bikoumissi
adorer    ekoumassa
adosser    eïèkine
adoucir    elengisse
soulager    elengisse ngangi
adoucissement    elengissi
adoucissements    bilengissi
adroit    bouïèdi
adroite    bouïèdi
adultère    mumbèla
adversaire    pênda
adversaires    mapenda
affable    boèdi
affaiblir    ekèïsse
affaiblir    emassa pindju
s'affaiblir    ekolu
affaiblissement    ekolissi
affaiblissement    bokolissi
affaire    diambo
travail    essadu
travaux    bissadu
procès    muhosso
procès    mimuhosso
affamer    eboma ma ndjala
affection    etondili
affections    bitondili
affirmer    elèlè moko
affliction    mudambu
afflictions    mimudambu
affliger    essa emono mudambu
s'affliger    edamba
affranchir    epossa
affranchissement    epossili
affranchissements    bipossili
affront    etsakili
affronts    bitsakili
afin    mu
afin    timu
afin    tungu na
agacer    ekarassa
age    likuku
age    ebôga
s'agenouiller    essama makuda bongo
aggraver    enèbisse
agile    etèmba
agir    essa
agiter    etsokassa
agiter    ekèkèna
s'agiter    etsokassa
agneau    muana taba
agrandir   enèbisse
agrandissement    enèbissi
agrandissements    binèbissi
agréable    bubuè
agréer    eyuga
agréer    eyaka
approuver    eyala
