à la mode    édzam énga lorang
abaisser    assile
abandonner    aligh
abasourdir    ayüèagnu
abattre    ayüign 
abattre l'arbre    abagh élé
abcès    éküküa
abdiquer    akore étô
abeille    nvufung
abeille    abè
abêtir    abô ndziman
abîme    tôtôlane
abîmer    andaman 
abîmer    abirane
aboiement    mbomegha nvú
abolir    assim 
abolir    atsam
abondance    afokh
abominer    avine dzam
abonder    abugh 
abonder    éne abüign 
abonder    adzègn
abonner    alar angôm 
abonner    alighéyola
aborder    awogane ye mot
aboutir    abô dzam
abri    ébem
accabler    atugle bot 
accabler    agnim
acajou    oveng
accaparer    alambe
acceptation    ayebe
accepter    ayebe
accorder    ake
accoster    atele bial 
accoster    assim tsime
accoucher    abiégn
accoupler    abo alugh
acheter    assôm
acheteur    nsôme 
acheteur    é mot assôme
achèvement    assonegha
achever    assone
acide    sang
admirable    énzenzam
admirer    assekh
adoration    éwuma énen
adorer    awúme
adresse    akeng
adulte    gnamôrô
adultère    mendzüane
affaiblir    ateghe
affection    éfonglane 
affection    édzing
affectueux    mvemvam
affirmer    abele 
affirmer    ayile
affliction    ndzùkh
âge    ndzô’ng
âge    mimbú
agenouillement    akurbe mebong
s'agenouiller    àkúr mebong
agile    ongôrgôra
agitation    ongheghame 
agitation    engôngôm
agréable    ébyebyekh 
agréable    nvègn
aïeul    mvám 
aïeul    tsira
aile    afàp
ailleurs    vôm afe 
ailleurs    vôm mfe 
ailleurs    éfa éfe
aimer    adzing 
aimer    agneghe
aimer à la folie    alìng
aimer à la folie    abira dzing
aimer les femmes    alìng binenga
albinos    mvégn
aller bien    aviane
amant    éboane
ambiance    anvonga
ambulance    metua minkôkon
amicalement    ye abüign angom
ami    angome
amoureusement    ye abüign édzing
amour    édzing 
amour    égneghe
amuse-gueule    bidega
amuse-gueule    bidzí-dzí
amuse-bouche    bidega
amuse-bouche    bidzí-dzí
analphabète    édukí
analphabète    ndzimane
anneau    akena
anneau d’or    akena ngós
année    mbú
animal    tsít
anus    éláng 
anus    égnakh abí
l'appât    édzagha
l'appât    nzône
appeler    alèè
apporter    azu
apprécier quelqu’un    adzing atâ mot
aquarium    étam kós
arbre    élé
arc    mban
argent    miang 
argent    bifura 
argent    môni 
argent    môno
argent (matière d’un bijou)    akena miang
aspect ou description    nson
aspect ou description    nsín
s'asseoir    amobe 
s'asseoir    atobe si
assez    oyóm
assiette    essua 
assiette    éfel
atangatier    ossa
attendre    ayane
attente    oyane
aucun    keghe dzôm
aujourd’hui    édzô di 
aujourd’hui    émû 
aujourd’hui    ane bito na
au revoir    mekang
aurore    melena me kírí 
aurore    alena kírí
aussi    aval 
aussi    ane 
aussi    fe 
aussi    nale
aussitôt    éto évor éte
autre    mfe
autrefois    okua 
autrefois    melú ônvús 
autrefois    ôto’o
autrement    aval afe
avancer    assube 
avancer    alor ossû
avant    ossû
en avant    ossû 
avant    ossussua
avec    a 
avec    ye
avocat    fía
avocatier    afía
avoir    abele
avoir des cheveux courts    abele étùn essí
avoir des cheveux longs    abele abüign essí
babiller    akobe zeze mam
bachoter    ayem komele nkat
bâcler    ayüign ntugh
badigeonner    assil 
badigeonner    awoghe
badiner    abô fiang
baffer    abime abègn
bafouer    andaman
bafouiller    adzim akôbe
bâfrer    abira dzi
bagarrer    ayirane
bagarrer    abimame
baguenauder    awule éwulu wulu
bague    akena
bague    akana
baguer    abwar akena onù
baigner    awobane
bain    mewobane
baisser    assile
balai    évüa 
balai    évuégha
balançoire    ndeng-kole
balayer    avüègn
bambou    éngoma 
bambou    ébègn
banane    ékon
barbe    nzel
barrière    akákh
barrière    nkagle
bataille    ébôm
bataille    alumane
bate au    tsime
bavard    nfôfop
bavard    fop
bave    avúú
bave    avúl
beau    mbeng
beaucoup    abüign
bébé    mon
bébé    moan
bébé    nkengle moan
bec    nsòng
bien    nvègn
bientôt    ana’ana
bientôt    kuna
bientôt    étodzi
blanc    nfum
blanc    éfumele
blanc    ntangane
blessé    mbàlán
blessure    aveng
blessure    mbàkh
bœuf    égnakh
boire    agnu
bois    élé
boisson    meyokh
boisson    mendzunga
bonheur    mvom
bonjour    mbôlô
bordfe    fel
bord de mer    nsag máng
bouder    abo bingatt
boue    mbwaregha
boule    ébuma
bourgeonner    afâ’a
bouteille    ndekh
bouteille    ngnomane
boutique    éfatele
boutique    sop
bracelet    nkìp
bracelet    akôm
bracelet d’ivoire    akômezok
branche    ntem
briser le cœur    atégn nnem abume
brouette    ékalikh
brouillard    nkút
brousse    afane
buisson    ntut
bure au    ofice
cabinet(w-c)    édukh
cabinet(w-c)    messègn
cabinet(w-c)    afargha
cabosser    ave bitút
cachette    achègn
cadenasser    afer ye angông
cadencer    ave abô abog
cadeau    dasse
cadeau    éveéve
cadrer    ayièn
cadrer    assongane
cafarder    akongmot
cafétéria    nda bagnu ngovina
cafouiller    adzim yalane mot
cafouiller    abô nnô abbé
cafter    akóng
cahoter    assugbane
cailler    atsingle 
cailler    ategbe 
cailler    ayinebe
caisse    éwala
cajoler    ayeglane 
cajoler    abira adzing
calciner    adzíkh
calculer    aláng
calebasse    ndekh bikekh
caler    abô ôkofett 
caler    abamlane
se calfeutrer    aferebane a nda été
câliner    abagle ye nnem o se
calligraphier    ayem atsili
calmer    assile nnem o si
calomnier    awomane
cancaner    abo ékobekobe 
cancaner    akobe abé
canneàsucre    nkôkh
canne à pêche    mbwaga
canne à pêche    nyop
caoutchouc    ndama
carte d’identité    edang mbô’ng
carte magnétique    éyüiè mimbègn
case    nda
case    étobga
casser    abüign
casserole    viek
casserole    siliba
casserole    atsinezokh
ceinture    asse
ceinture    angherghe
ceinture de sécurité    asse éne éto metua
célibataire    nkoègn
célibataire    nkpwègn
cent    ntett
cependant    ve
cerisier    élé atôm
certain    bebela
chacun    mot asse
chacun    kara mot
chaînette    ôbone
chair    nsône
chaise    éto
chaise    émobga
chaleur    ndugle
chaleur    ay’ông
sueur    édudùkh
sueur    échíí
chambre    édzina
chambre    abona
champ    afúp
chance    magha
chance    mvom
changer    assangle
chanter    ayiè
chanson    dzia
chanvre    bang
chanvre    bangha
chanvre    yam
chapeau    afakh
foulard    ntôm
chapeau    afoglong
charbon    fire
chasser    atsirane
chat    essinga
châtier    assur 
châtier    ayir
chatouiller    agnomle 
chatouiller    abo begnomgnom
chatoyer    assangle minsôn
châtrer    akigh bito bi fam
chaud    ay’ông
