a cote de    ya panga a
abaissement    konoussa
abaisser    konoussa
abaidon    toukou
abandonner    toukou
abattre    kwanga
abattre (quelque chose)    kwanga
abattre (un etre vivant)    boma
abces    ibimbiti
abces    ivanga
abdiquer    bissa
abdiquer    niagha
abeille    nioughi
aboiement    begha
abonder    lotola
aborder    bondo
aboyer    begra
absent    vele
il est absent    ndè na vele
accabler    yiloussa
accabler    yila
accorder    chinga
s'accorder    yebene
accoster    tseke
accoucher    bota
s'accoupler    lala
accrocher    bandougha
s'accrocher    kagha
accuser    koutoulou
achat    lessoumbou
acheter    somba
acheteur    mouchoumbi
achever    manoussa
achever quelqu'un    toukoulou
achever    mana
terminer    mana
acide    nguegni
action    kwe
adolescent    moufoudou
adolescente    nomba
adorer quelqu'un    bondo
quelqu'un    moutou
adorer quelqu'un    youmoussou
adorer quelque chose    bondo
adosser    bandoussa
s'adosser    bandouna
adoucir    kolichi
adulte    ngwamoutou
adultere    boukeli
affamer    kwa ndzala
affiler    (un couteau  chiba
affirmer    chiloula
affluent    nwanandzeli
age    bilema
quel age as-tu ?    wè bilema kwè ?
quelqu'un d'agé    ngwamoutou
ages    bilema
agiter    tsokassa
agiter    tsokoussa
agrandir    nebousse
aider    yamoussa
aigle    mbeda
aiguille    tsongui
aile    lepepi
aimer    tondo
ajouter    bwesse
albinos    ikouyi
aliments    biela
aller et venir    yende na ya
aller jusqu'au bout    vikassa
s'allonger    sokougha
allonger    sokoula
allons marchons!    tswe nda gni
etre allumé    ya nama
s'allumer    nama
allumer    namoussa
alors    to yana
alors    aka
amer    keli
ami    mbeghi
amitie    imbeghi
amollir    kolousso
amont    tanda
amont    oukegha
amour    letondo
amulette    mouchioughou
porteur d'amulettes    nga bilongo
ananas    iba
ananas    lelanga
ancetre    iboutou
ancetre    moukoutou
ancetres    biboutou
ancetres eloignes    bakoutou :  bakala
ancien    oundjinga
très anciennement    va kala kala
anciennete    oudjinga
aneantir    ghodoussou
aneantir    tsamouna
angle    moussoughou
angoisse    bomo
angoisse    mangongo
animal decoupe    bibete
animaux    baniama
annoncer    lele
annoncer    lebala
antilope dormante    ichiba
anus    ichoumbi
aplanir    tetesse
apparaitre    poloula
appat    tsala
