a    de
a ba    il y avait
a ka ba    il y aura
a ka ba mvoulou    il y aura une pluie
a mata    depuis
a we ve    ce n'est pas toi
agha    non
agni bove    ce n'est pas ainsi
aka    alors
avion la ingamaba    hélicoptère
ba    se trouver
ba    être
ba benda    être fermé
ba benda    être enfermé
ba boubwe    être en bonne sante
ba ghou bola    rester au village
ba kokassa    regrouper
ba miogni    être vivants
ba mogni    être vivant
ba sada    repeter
ba sada    refaire
ba temoune    être debout
ba ya panga a    être à coté de
ba baghala    hommes
ba baghala    mâles
ba bota a kwa    mort-ne
ba bwo    silence! 
babandza    juges
babeghi    les gagnants
babimba    rhumatisme
babongo    recuperer
baboumi    tueurs
badagni bwo    silence!
badiendji     travailleurs
badolo    argent
badolo tchitsa    assez d'argent
badolo lekoumi    cinquante
badrouma    godasses
bagha    gagner
bakagha    grands-parents
bakassa    puces
bakedi    epouses
bakedi  soeurs
bakedi    femmes mariées
bakika    les autres
bako    beaux-parents
bakoba    tiques
bakoumou    chefs
bakoussa    retrouver
bakoutou bakala    ancêtres eloignes
bakala    eviter
bakassa    trouver
baloghi    mauvais sorciers
baloula    virer
bambaka    fiances
bambala    ignames
bamvoulili    etoiles
bana    enfants
banda    aval
banda    commencer
banda libreville    descendre à libreville
bandana    se baisser
bandougha    accrocher
bandoumi    freres
bandouna    s'adosser
bandoungou    graines de piments
bandoungou    piments
bandoussa    incliner
bandoussa    adosser
bandza    juges
bandzanda    araignées
banengue    fourous
bangagha    les proches
banguembi    magnans
bangwabata    les grands
baniama    animaux
baniama    gibiers
baniedi     buffles
baniouwi    buveurs
bapili    viperes
bapita    maniocs
bapopa    sauterelles
bapopogho    insectes
bapoughou    rats
bapoupoudou    poumons
basseli    travailleurs
bata    fuir
bata ba    ces hommes
bata ba    hommes de
bata ba    habitants de
bata bake    quelques hommes
bata bana    autres
batassa    mettre en fuite
batchika    boucles d'oreille
batchimba    ephemeres
batchongo    grands clous
batchwi    poissons
batendi    myopes
batou    hommes
batou pa kala    hommes d'autrefois
batouli    pieges
batsanga    taros
batsede    petits clous
batseki    aubergines
bavevi    pantheres
bavovi    parleurs
begha    aboiement
begha    aboyer
bele na    environ
bele na u yende    pret à partir
belegha    guerir
beleghe    être gueri
belesse    guerir
bena    vous
benda    boucler
bendagha    gravir
moukoudi    une montagne
benga    chasser
bengassa    donner raison
bengue    rougir
benguesse    murir
bessa    nous
bessa bena le ba miogni    nous sommes vivants
beta    guider
beta    emporter
beta    conduire
beta    transporter
beyissa    gaspillage
bi bougnwa    boisson
bianio    boissons
bibete    animal decoupé
bibete    gibier tué
bibi    vilains
bipodi    levres
bibodi    betail
bibonga    carapaces
biboutou    petits tas
biboutou    ancêtres
bidikou    embuscades
biegni    miroirs
biegni    lunettes
biegni    verre a lunettes
biela    aliments
biela bi    ces choses
biela bina    quatre choses
bifoudi    fourous
bifoudou    oiseaux
bifoundou    tenebres
bighaba    poings
bighobichi    respects
bighongo    tubercules
bikanga    dabas
bikata    infirmes
biki ?    quoi ?
bikissa    remplacants
bikossolo    toussotements
bikossolo    crachats
bikou    habitudes
bikou    coutumes
bikou bipibi    mauvais caractère
bikoughou    insectes
bikoumbou    saynetes
bila    arracher du sol
biledi    relations sexuelles
bilema    âges
we bilema kwe ?    quel âge as tu?
biletale    machettes
bilindi    radeaux
bilogha    vomissements
bilongo    fetiches
bilongo    medicaments
bimba    dechets
bimba    herbes
bimba    être gonflé
bimbi    entiers
bi mongo    patates douces
bina    quatrieme
bina    quatre
bina bata bana    quatre hommes
binounou    vieux
bio bighi ?    ce sont lesquelles ?
bioli    deux fois
bioli    deuxieme
bioli    deux
biotsi    tout
bipegni    radeaux
bipipidi    borgnes
birenga    robes
bisongui    provocations
bissa    refuser
bissa    abdiquer
bissala    travaux
bissamouna    grimaces
bissi bola    habitants de
bisweghi    cachettes
bitana    cinq
bitata    trois
bitchepi    clefs
bitchitsouda    chenilles
bitsada    marchandises
bivoulou    turbulences
bivoulou    turbulents
bo begni ?    ce sont lesquels ?
bogha    grandir
bogha    soulager
bogha pingui    soigner une plaie
boghoulo    casser
bola    cogner
bola bakondo    donner des coups de baton
bola bighaba    donner des coups de poing
bola leboto     giffler
bola bou bouneni    grand village
bolo    mouiller
bolo    pourrir
boma    abattre
boma cha issala    donner tort
boma chia issala   donner tort
boma    tuer
bomo    angoisse
bomo bou me li na bvo    la crainte que j'ai
bondo    aborder
bondo chela    adorer quelque chose
chela    quelque chose
moutou    quelqu'un
bondo moutou    adorer quelqu'un
bondo cha moutou    prier quelqu'un
bondouna    dormir
bonda na cha cholo    tomber de sommeil
bonga    gaspiller
bongo    prendre
bongo cha ndagha    prendre la parole
bongoula    nourrir
bongoussa moutoto    trainer par terre
bosso    mouche tse-tse
bota    accoucher
botessa    faire accoucher
botighi    bouillon
botighi    faire bouillir
bou mbaka          concubinage
boubi    mal
boubi    mauvais
boubi bwa loutala    très mauvais
boubita    gencive
boubwe    bonté
boubwe    beauté
boubwe    beau
boubwedi    douceur
bouchepa    responsabilité
bouchi    temps
bouchi    lumière
bouchi ba ghou lekessa lena    en ce temps là
bouchi boukia      le jour se lève
bouchi bouyila    le jour se couche
bouchi na bouchi    tous les jours
bouchichi    bienveillance
bougni ?    comment?
bougni ba lele ?    comment dit-on ?
bouke-bouke!      doucement!
boukebi    générosité
boukegni    méchanceté
boukegni   douleur physique
boukeli    adultère
bouko ba moukassa    belle-mère
bouko bwa lebaghala    beau-père
bouko bwa moukassa    belle-mère
boukouli    veuvage
boukoumou    responsabilité
boukoussou    égoïsme
boula    village
bouledi    folie
bouleghi    beaucoup
bouleghi bwa totala    plus
boulema    lourdeur
boulema    lourd
boulema bwa chela    une chose lourde
boulimba    glue
bouloghi    malédiction
bouloghi    sorcellerie
boumboudou     brusquement
boundjili    bétise
boundzou    cervelle
bouneni    gros
bouneni    large
bouneni    grand
boungossa    veillée
bounguebe    enfance
bounguebe    jeunesse
bounono    solide
bounounou    vieillesse
boupipidi    cécité
boupogho    candeur
boussou    jeter
boussou vala    jeter au loin
bouta    arc
boutele    longueur
boutele boukoubi    court
boutsogha    douceur
boutsogha    sans violence
boutsoughou    nuit
bouvoto    audace
bouvoulou    turbulence
bouyedi    prudent
bouyedi    malin
bouyedi    intelligence
bouyedi    esprit
bouyi    miel
bouyimba    dignité
bouyimba    respect
bwedi    juste
bwedi    bien
bwesse    ajouter
bwesse    multiplier
bwo !    silence!
cha djenguele    rond
cha kogha    être plein
cha lekoumi na bina    quatorzième
cha lekoumi na bioli    douxième
cha lekoumi na bissamouna    seizième
cha lekoumi na bitana       quinzième
cha lekoumi na bitata       treizième
cha lekoumi  na pombo        dix-huitièmee
cha lekoumi na tsamba       dix-septième
cha lekoumi na wadix-neuvième
cha lengue    léger
cha makoumi mana    quarantième
cha makoumi massamouna    soixantième
cha makoumi katana    cinquantième
cha makoumi matata    trentième
cha makoumi moli    vingtième
cha makoumi moli na bioli    vingt-deuxième
cha makoumi moli na imo    vingt et unième
cha makoumi tsamba na tsamba    soixante-dix-septième
cha tendeghe    clair
cha tseme    propre
che    ce
chebe    corbeille
chebe    ricaner
chefa    chef
chegni    miroir
chela    chose
chela    machin
chela cha moutema    chose cherie
chela cha na mandza    neuf
chela cha na mandza    nouveau
chela ka ve    plus rien
chela pessa ve    pas du tout
chela ve    rien
chela ve    néant
chena    ceci
chepa      chef
cheti     gazelle
chetse    mesure
chi cha kania    sec
chi ibimba    entier
chi ibimba    entièrement
chi ibissa    cru
