Initiation au bwiti.	Abandji
être initié au bwiti.	Ṉa abandji
être initié au bwiti	Poka abandji
Fétiche protecteur d'un village, des plantations.	Abandó
Herbe fétiche	Bèn'abandó
Objets ou aliments consacrés aux défunts .	Abao
déposer des abao.	Saka abao
Cimetière	Abe
conduire un mort au cimetière.	Pin'oma g'abe
faute.	Abè
c'est ta faute.	Abè inó
et je partis	M'abe kènda
et je partis	My'abye kènda
et je partis	g'abe kènda myè
et je partis	g'abye kènda myè
et je partis	G'anivi myè kènda
confiance, espoir.	Abekó
avoir confiance en quelqu'un.	Dwana n'abekó gore oma
abuser de la confiance.	Nokin'abekó
perdre la confiance.	Periza abekó
nous espérions que...	Azw'aluo n'abekó inè...
Tant mieux!	Abèmâ !
Poumons.	Abobo
avoir mal aux poumons	Dyógó abobo
Ancêtres	Aboswè
Ceux d'avant.	Aboswè
ceux d'avant ont causé des misères à ceux d'après	Aboswè w'agovini Aṉum̂anyè aguga
Les enfants pâtissent des fautes de leurs pères.	Aboswè w'agovini Aṉum̂anyè aguga
Nom que se donnaient les anciens Mpongwès.	Abuka
jeune homme, comment oses tu faire une chose pareille, toi un fils d'Abouka?	Tata, om̂'afè denda kè yenó, awè om̂w'Abuka?
Pian.	Abukwè
avoir le pian.	Koto n'abukwè
Forêt	Abundjè
Dieu de la forêt et celui de la mer.	Rèr'Aṉambyè y'Abundjè ni Rer'Aṉambyè yi Nteuwa
buffle.	Abusu
enfant de la savane.	y'om̂wo-orove
Nom propre de fétiche	Abyala
Salut	Abyô
Te voilà arrivé.	Abyô
Salut qu'on s'adresse après une courte absence.	Abyô
Vous voilà arrivé!	Abyoni!
gloriole.	Abyógó
vanterie	Abyógó
vanterie	Ikapa
il se vante.	E bolîn'okuw'è abyógó
commencer par	Adónge
faire d'abord	Adunge
je suis allé d'abord dans la savane.	My'adonge kènda g'orove
il a d'abord demandé à son père.	Adonge bambye rer'iyè
Surnom du serpent cracheur.	Adudo-isindina
Tribu riveraine du Haut-Ogowè (Lastoursville).	Aduma
un Adouma.	Omŵo-Aduma
Personnage imaginaire, joueur de harpe habitant la lune.	Aduma
était	Aduo
j'étais couché.	My'aduo bu
où étiez-vous?	Anw'aduo gwe?
quand je suis arrivé, ces gens-là mangeaient	Egombe z'abya myè, móngi sónó w'aduo wi ṉa
quand je suis arrivé, ces gens-là avaient déjà mangé.	Egombe z'abya myè, móngi sónó w'aduo w'aṉeni
Claies en lattes de raphia pour barrer les rivières.	Adya
barrer une crique, une rivière pour prendre le poisson.	Diwin'adya g'olówi
maquereau.	Adyombèli
maquereau.	Adyuwe-mbèli
Clan mpongwè  Omŵ o-Adyumba, un Adyoumba.	Adyumba
les Adyoumbas ont dit, pas de rancune, pourvu qu'il y ait vengeance, Œil pour œil, dent pour dent.	Adyumbaw'awuyinè, Ze nkomâ, mpaga ni ngókó
oisezau migrateur appelé plongeon.	Adyuwa-adyora
encore	Afe
de nouveau	Afe
de nouveau	Afó
encore	Afó
