ibam̂i    dignité
azele ṉènè n'ibam̂i    il a perdu tout prestige
ibam̂ina    étincelant
ibam̂ina ga nkombe    brillant comme le soleil
ogègèni winó wi re ibam̂ina    cette étoile est brillante
ibandó    fétiche déposé sur le seuil ou à l'intérieur d'une case pour nuire au propriétaire
ilubwa gunu ibanga, nkalande yi re zwè go kè nana?    en partant d'ici le matin, dans quel village irons-nous coucher?
ibanga    matin
ibangani!    au revoir!
ibangani!    à demain!
ibanga sodu    de grand matin
ibanga viriviri    dès la première heure
egombe z'ibanga    dans la matinée
ibangatya    contrainte exercée contre une personne
ibambo    cric
ibambo    treuil
ibangatyo    contrainte subie par une personne
ibangwana    séparation
ibangwana    différence
ibangwana    divergence
ibangwana    disproportion
ibangwana s'inina n'okuwa    la séparation de l'âme et du corps
ibangwana s'om̂w'onaga n'evuginya    la différence entre un homme et un animal
onom̂e mèwónó n'om̂want'wè wi re sibangwana sipolo g'igona    il y a une grande disproportion d'âge entre cet homme et sa femme
ibata    tache
ibata    marque salissante
ibata ṉ'agali    une tache de graisse
ngóï y'atweni myè n'ibata    mon habit est taché
ibata g'ibata fó    sans tache
ibatizo    le baptême
ibè    côté
ibè    pan
ibe    péché
ibe    mal
dyandj'ibe    faire le mal
dyandj'ibe    commettre le péché
mèm'ibe sè    avouer ses fautes
ibè    face d'un corps polyédrique
bola erere abè anaï    équarrir une poutre
pana erere abè anaï    équarrir une poutre
ibega    abattage des arbres
ibega    déboisement
kènda g'ibega    aller couper les gros arbres
ibeka    orgue
ibeka    piano
ibeka    accordéon
ibeka    harmonica
angongo m'ibeka    disques de phonographe
pèlè y'ifceka    disques de phonographe
ibeka    bourdon, gros insecte voisin des abeilles
ibeka ṉ'agolo    un harmonium
ibeka ṉ'agó    un accordéon
ibeka ṉ'ogwana    un harmonica à bouche
ibekelya    espérance
ibekelya    confiance
ibèku    objet ébréché
ibèku ṉ'epèlè    une assiette ébréchée
ibèkwa    cassure
ibèkwa    décroissance
ibèkwa s'ogwèli    le dernier quartier
ibèkwè    sorte de langage voilé
ibela    demande en mariage
ibela s'apile bambyo    la demande en mariage vient d'être faite
ibele    variété de banane
ibembe    tourterelle
ibembe    colombe
ibembe ṉi ndukwè    grosse tourterelle à collier noir
ibembe ṉi mboga    petite tourterelle des plantations
ibèna    ensemencement
anto wi re g'ibèna    les femmes sont occupées à planter
ibena    ebullition
ibena    bouillonnement
ibena    fermentation
ibèndè    museau de la raie
