mbela    aigle criard
mbelaga    espèce
mbelaga    genre
mbelaga    variété
boke mbela    appeler de loin
boke mbela    hêler
dyivire mbela    répondre à un appel
wokin'è myè imbela    appelle-le-moi
reva myè mbela y'epokolo zi belondó    fais-moi voir le genre de chapeau que tu désires
mbelaga y'om̂wana winó yi pa dyeno ni móni    on n'a jamais vu un enfant pareil
my'amyo mbelaga y'oma winó    je ne comprend pas cet homme
mbèli    troupe de guerriers
mbèli    groupe de combattants
mbèli    armée
aṉambyè y'imbèli    le dieu des armées
oga akèndi n'imbèli sodu g'igówi    le chef est allé combattre avec tous ses guerriers
mbele    flamant rose
mbèlèkè    taquinerie
mbèlèkè    taquin
mbelini    volonté
mbèmbè    epouvantail pour les enfants
mbèmbó    manière d'agir
mbèmbó    conduite
mbèmbó y'oma winó my'adyasi yo    j'en ai assez des manières de cet homme
awè mbèm̂i    c'est toi qui as raison dans cette affaire
mbèm̂i    droit
mbèm̂i    raison
mandé re mbèm̂i?    qui est-ce qui a raison?
fel'oma go nteogo ni mbèm̂i yè    condamner quelqu'un à la prison sans motif
pa oma mbèm̂i    donner raison à quelqu'un
mbenda    arachide
mbenda    pistache de terre
papa y'imbenda    un paquet d'arachides séchées et enveloppées dans des feuilles
papa y'imbenda    un paquet d'arachides
papa y'imbenda    un paquet d'amandes de mpóga
olowo w'imbenda    un plein panier d'arachides
osuko-mbenda    sauce aux arachides
ongoba w'imbenda    un pâté d'arachides
mbend'aknkwè    fausse arachide
mbendi    féroce
ṉam̂a mbendi    un animal féroce
mbendjo    banc d'embarcation
imbendjo s'elende    les bancs d'un canot
mbendo    flotteur
mbendo y'ilówó    le flotteur d'une ligne de pêche
mbene mpolo    l'océan
nkal'iyazo yi re yèze go mbene    notre village est situé sur le bord de la mer
mbene y'atwe vunya-vunya    les vagues moutonnent
per'aningo go mbene    puiser de l'eau à la fontaine
mbene e 'kweno n'agónga    on ne va pas sur mer avec des sagaïes
mbèngi    amant
mbèngi    maîtresse
mbenó-mbenó    davantage
mbenó-mbenó    encore plus
mbenó-mbenó    surtout
iṉam̂a s'apakilya go bele sandjina    les animaux commencèrent à vouloir s'éloigner de là
mbenó-mbenó g'afè nèngondè ezango    il l'est encore plus depuis qu'il a été à l'école
mbèrè    sardine
imbèrè si bola    les sardines frétillent
swaka-mbèrè    couteau de cuisine
mbèrè yi nkèï    une sardine fraîche
mbèrè ṉom̂o    une sardine fumée
kol'imbèrè s'okapo    acheter des sardines maigres
mbèwè    fer d'un instrument tranchant
