ninga    enrouler
ningi    qui dure longtemps
ningi    incurable
ningi    usé
nkani ningi    une longue maladie
ntȼozo ningi    une vieille pantoufle
ntȼozo ningi    un soulier usé
ningo y'ado    la pluie menace
avil'oṉèngè    la pluie se transforme en averse
ningo yi nóga yî    il pleut fort
ningo yi nóga yî    il pleut à torrents
ningo y'ateni nkwe    la pluie a complètement cessé
okóndjó wi ningo    une forte pluie
sómbune ningo    s'abriter contre la pluie
ningo arene ni ntȼe    la pluie ne cesse pas en bas avant de cesser en haut
ningonaniba    replis d'un pagne mis autour des reins
nîngo    pluie
ninya    disparaître
nkombe y'anini du ntyô    le soleil a entièrement disparu
ninya    disparaître complètement
ninya    se perdre
niny'ompilingwè    plonger dans l eau
niny'ompilingwè    faire un plongeon
ninya    faire disparaître
ninya    perdre
ninya    égarer
evèzu z'anini    la cicatrice ne paraît plus
fura y'anini go nóntȼe    la pièce d'un franc s'est perdue dans la chambre
nkondo y'anini go mbene ntȼe    la carpe a plongé au fond de l'eau
nînya-nmyani    au loin
nînya-nmyani    dans le lointain
niti    pur
niti    sans mélange
ivè ṉinó ṉi re niti    ce vin est pur
niva    acquérir
niva    posséder
niva    être maître
niva    être cause de
om'o nivi nago    le maître de la maison
om'o nivi nkala    le chef du village
niv'asaka    posséder des esclaves
ekaga zinó zo nivi du ina ṉ'ekaga    c'est cette tortue qui est proprement la tortue ekaga
myè nivi ina ṉi rapónda    c'est moi qui m'appelle raponda
nive ntina y'ozózó    être cause d'un palabre
nka    village
nka yi rè-tiga    le village de rè-tiga
nkadaga    trop étroit
epokolo mèzónó zi re nkadaga    ce chapeau est trop étroit pour ta tête
nkaga    pangolin ou fourmilier à écailles
nkaga    bâton de manioc replié en deux ou trois morceaux
nka    village
nkagando    amande de mangue sauvage
tókun'inkagando s'aba    extraire des noyaux de mangues
nkage    passé
nkage    fermenté
mbum̂a nkage    une tomate aigrie
nkago    singe à calotte rousse
nkagum̂a    fruit parfumé de l' ogagum̂a
nkala    village
dowo nkala    construire un village
om'o nivi nkala    le chef du village
go nka ya mandè?    dans quel village?
tore nkala    abandonner un village
pange nkala    accomplir certains rites dans un village pour conjurer les accidents, les épidémies
edoka zi nkala    un méchant village
opaka    village en construction
nkalanga    essence d'arbre qui donne un bon calorique
nkalunyo    changement
nkalunyo    modification
nkam̂a    cent
nkamba    verdeur
nkamba    vigoureux
nkamba    dans la force de l'âge
dyuwe nkamba    mourir dans la force de l'âge
nkamba    vert
nkambe-ntȼina    arbre de marais à bois dur, d'un rouge pâle, lavé de gris
nkambe    parleur
nkambe    chanteur
ṉóni nkambe    un oiseau chanteur
nkambi    grande antilope à robe fauve
nkambi y'apèm̂a polo y'alambe kwene g'owela    l'antilope qui vagabonde ne tarde pas à tomber dans la fosse
nkambini    manière de parler
nkambya-gambya    herbe rudérale
nkana    crabe des palétuviers, de couleur violette
nkanda    exprès
nkanda    à dessein
nkanda    de propos délibéré
nkanda    faire quelque chose avec préméditation
nkanda    de propos délibéré
nkandjaga    sarcopte de la gale
nkandji    filament
nkandji    filandre
ozone wi ndjógu wi re inkandji    la chair de l'éléphant est filandreuse
nkandjogoni    fibres qui entourent les noyaux de palmes, et dont on se sert pour allumer le feu
nkanga    pintade
nkanga    moelle de raphia ou de palmier
pange mbendo ni nkanga    faire un flotteur avec de la moelle de raphia
nkangagómbè    petit de l' ogómbè
nkange    rôti
nkondo nkange    une carpe frite
nkango    arôme
bage nkango    répandre des parfums
bage nkango    sentir bon
ntȼavo yi nkango    du savon parfumé
ntȼavo yi nkango    une savonnette
olonda winó wi re nkango    ce fruit sent bon
nkani    maladie
nkani    infirmité
koto ni nkani    être malade
nkani mbe    une maladie dangereuse
nkani y'abyen'è ṉóngó mbani nkundina    il a été repris deux fois de suite par son mal
nkani mèyónó yi nógana    cette maladie est contagieuse
nkani mèyónó y'avungo yè mpungago    cette maladie n'est pas naturelle
nkani yi nago    une maladie héréditaire
nkani ndinge    une maladie chronique
rer'iyam̂i are bu ni nkani    mon père est alité
nkani-nonda    panaris
nkano    conte
nkano yi ndjègó ni ntori    la fable du léopard et le rat-palmiste
nkatanga    stérescope
nkatanga    village des blancs
nkavï    pagaïe
nkavï    rame
nkavi y'elende    un aviron
nkavi y'owaro    une pagaïe
nkavi ya gore    une grande pagaïe
nuge nkavi    manœuvrer une pagaïe
móngi mèsónó wi re nkavi go ṉumbe    ces gens-là font nombre
nkawa    poisson de mer, de grande taille
nkawagawa    ligature
noge nkawagawa    faire une ligature en liens de rotin
pande nkawala    monter à cheval
kènda go nkawala    aller à cheval
imyanga yi kèndize nkawala    des éperons
nago yi nkawala    une écurie
nkawala    cheval
nkaza    douleur
nkaza    souffrance
nkaza    préoccupation
nkaza    dégât
ogolo wi panga myè nkaza, mi 'dyólye kènda    j'ai tellement mal à la jambe que je ne puis marcher
dyógana sinkaza    se donner des coups
bol'oma eza zi nkaza    rosser quelqu'un d'importance
