nkózi    petite herbe rudérale
nkula    pommeau d'une canne
nkula    bec-de-cane
nkula    poignée de porte
nkule-mbene    mangle
nkule-mbene    fruit du manglier ou palétuvier
nkule-mbene    aiguille ou trompette de mer, petit poisson à corps long et grêle
nkule-mbene agovini manga idyuwa    le fruit du palétuvier causa la mort du lamantin
nkula-nóni    ambidextre
tende nkula-ṉóni    écrire des deux mains
nkum̂anaga    sans réflexion
nkumba    société
nkumba    troupe
nkumba    parti
diwine nkumba    barrer une rivière
wi re nkumba mo    ils sont du même bord
wi re nkumba mo    ils sont du même parti
wi kènde nkumba ni yao    ils font bande à part
nkala y'akerani nkumba mbani    le village est divisé en deux partis
nkumba yi diwîn'olówi    un barrage
nkumbu    racine adventive du palétuvier
inkumbu s'atanda si re tagàlatagala    les racines des palétuviers s'enchevêtrent les unes dans les autres
e tatam̂ina ga nkumbu y'itanda    il tremble comme une racine de palétuvier
nkuna    partie dure d'un fruit
ilasa ṉi re nkuna    l'orange n'a pas de jus
nkundina    continuellement
nkundina    sans interruption
nkundina    vague sur vague
okewa w'anóngwi    la mer est démontée
nkundu    petite case-fétiche placée à l'entrée d'un village
nkundubele    grand sabre recourbé
nkune    papyrus
nkune    souchet à papier
nkune    plante aquatique
nkungu    vautour
nkungu    charognard
nkungu    qui ramasse tout ce qui est pourri
nkungu    tortue de mer
nkwa    taro à pulpe
igware yi nkwa    griffes de taro
ngwè yi nkwa    tubercule-mère
n̈kwa y'ayogo    variété à tubercules longs et minces
nkwa y'atanga    variété à tubercules rouges
nkwa y'atanga    gros et courts
aningo mi nègiraga mi 'îenize ntȼwana y'inkwa    l'eau que l'on demande aux autres ne fait pas cuire les taros
nkwane    perdrix
nkwane y'oda    perdrix rouge
nkwane y'orove    perdrix grise
nkwe    nettement
nkwe    d'un coup
okwara w'aten'è ogó nkwe    un coup de sabre lui a tranché net le bras
my'alende osam̂u mèwónó kao ompele nkwe    alors même qu'on me tranche le cou, je n'en ferai rien
ten'ozózó nkwe    trancher une question sans hésiter
ten'ozózó nkwe    trancher une question d'une manière claire et précise
ompum̂a wi nkwèdyè    une année d'abondance
iṉa s'atweni nkwèdyè    il y a des vivres en abondance
okóngó purana-pa ga nkwèrè y'olówi    le dos voûté comme un nkwèrè de rivière
kamb'oma nkwèrè-ṉum̂a    médire de quelqu'un
kambize nkwèrè y'anó    grincer des dents
nkwèrè-ṉum̂a    médisance
nkwèrè-ṉum̂a    médisant  
nundj'iguge n'isape nkyèń    fermer hermétiquement la porte
nundj'oma go ntȼogo nkyèń    mettre quelqu'un sous les verrous
nkuzu    sciure de bois
nkwe-ndjógu    plante grasse épineuse
nkwèdyè    abondance
nkwèrè    excellent poisson
nkwèrè-y'anó    grincement des dents
nkwèró    egratignure
nkwèró    éraflure
nkyanko    variété de petit culex
nó tigare    attends un peu
nó tigare    laisse d'abord
nó    comme cela
nó    ainsi
nó    même
nó    pas même
nó    sans même
go kendj'ó yenó no, om̂'adonge myezi rer'iyó vye?    avant de te préparer ainsi, as-tu d'abord prévenu ton père?
nó wè kè, o vogine myè?    ni toi non plus, tu n'auras pas pitié de moi?
my'azele ni swaka, nó móri    je n'ai pas même un couteau
o pyagana g'igala mpyaganaga go nag'wam̂i    tu passes dans la cour sans même entrer chez moi
nógana    traverser
nógana    passer
nóga    v n
noga    tresser
noga    mailler
noga    construire
mbute noge    une bouteille clissée
irongo yi nogine nago    des matériaux de construction
nóga    franchir
nóga    enjamber
nóga    dépasser
nóga    outrepasser
nóga    transgresser
nóga    violer
nóga    se communiquer
nóga    transmettre
nóga vyagano    dépasser les limites
nóg'am̂óri waodu    être à cent coudees au-dessus des autres
nóg'ivanga    transgresser un commandement
nóg'ivanga    transgresser un ordre
nógan'olówi ntȼe móri    passer sur l'autre rive du fleuve
dyógó eteno z'adatana n'ozira, impogo si be nógana    si la cloison touche au mur, les rats passeront
evunga zi nógana gor'anaga    la petite vérole est contagieuse
nóga    pleuvoir
ningo yi nóga    il pleut
ningo mpolo y'anógini zwè dyao    la forte pluie qui nous a surpris hier
nogo    requin des rochers
noka    mentir
noka du gozigozi    mentir effrontément
noka ozo wè dolo   mentir sans sourciller
nokin'amori    tromper les autres
nokin'okuwèmè    s'abuser soi-même
nokin'okuwèmè    se bercer d'illusions
orèm̂a e nokin'okuwa    on se tue à réaliser ses désirs
nokin'ompangano    manquer à sa promesse
nokin'ompangano    manquer de fidélité dans le mariage
nokino    mailles augmentées
noma    mordre
noma    pincer
noma    piquer
