ompandi    hampe
ompandi w'igónga    hampe de harpon
ompani-mpani    ouvrier en bois
ompani-mpani    sculpteur
ompanimpani w'ikana    un fabricant de statues
ompavè    désobéissant
ompavè    qui ne veut faire qu'à sa tête
ompavo    papots
ompavo    pailles
dyurun'ompavo    changer les pailles d'un toit
tomba ompavo    enlever les pailles d'un toit
mondja y'ompavo    une paille
sóz'ompavo g'iwóló    détacher des feuilles de raphia dans un marais
tum̂'ompavo    coudre ensemble des feuilles de raphia
tum̂'ompavo    confectionner des pailles
ompege    tourteau blanchâtre d'amandes de mangues
ompèï    saignement du nez
ompèï    hémorragie nasale
ompèï    saignement des dents
ompèï    doigt auriculaire
ompèï    petit doigt
ompèï wi kógwa myè g'ompombo    je saigne du nez
ompele    encolure
ten'oma ompele    couper le cou à quelqu'un
kot'oma g'ompele    saisir quelqu'un par le cou
ompele wi ngóï-sótu    un col de chemise
ṉóṉuna ompele wi ngóï    redresser le col d'un habit
ompele wi mbute    le goulot d'une bouteille
ompele    cou
ompèmbè    rosée
tèwya n'ompèmbè    être trempé par la rosée
myè gèndaga-ró go dul'agondjo    je demande des avances
ompende    mollet
ompende    le tibia
ompene    emmancher
ompene wi swaka    un manche de couteau
ompene    vipère du gabon
ompènga    matière fécale consistante
ompi w'oba    le cœur d'un manguier
ompilingwè    plongeon
niny'ompiïingwè    faire un plongeon
erere z'ompimpi    un arbre qui n'est pas creux
ogana winó wi re ompimpi    cette statue est massive
ompindi    village de culture
ompinga    boule
ompinga    sphère
ompinga    masse
ompinga    agglomérat
erere z'ompinga    une boule en bois
ido ṉ'ompinga    une boule en pierre
osóló wi re ompinga    l'orphie ou poisson-aiguille a le corps arrondi
ompinipi    non creux
ompiza    déplaisir
ompizi wi ndjèwè    une banane à moitié mûre
iba ṉinó ṉi pare ompizi    cette banane commence à mûrir
ompoge-mpoge    personne très sourde
ompogoni    cavité
ompogoni    fosse
tok'ompogoni    creuser un trou
ompogoni w'erere    un creux d'arbre
impogoni y'agómbó    des trous de crabes
impogoni y'okuwa    les pores de la peau
ompoguna    clairière
ompoguna    éclaircie
ompoguna w'ogomba    un passage dans une palissade
ompóï    sphyrœna vulgaris
ompóï    bécune
ozo idava g'ompóï    le visage allongé comme une bécune
ompoguna    passage
ompoguna    issue
ompolo    gros
ompolo    influent
ompolo    important
osam̂u ompolo    une affaire importante
oga ompolo    un chef influent
ompolo    grandeurs
ompolo    dignités
ompolo    honneurs
ompombana    ouverture
ompombana    embrasure
ompombana    écoutille
edódó z'ompombo    la membrane du nez
ndjali y'impombo imbani    un fusil à deux coups
tum̂iny'ompombo wi ndjali    braquer un fusil
ompom̂o mèwónó wi kógwa g'orónga    ce cap s'avance loin dans la mer
ompondja    manière d'être
kwena g'ompondja w'anom̂e    arriver à l'âge d'homme
ompondja w'ogum̂a    un gros bâton de manioc
ompondja wi bifi    une bonne tranche de lard
ompondja w'okum̂e    un ocoumé de grande taille
mi pare ompondo    je ne suis pas encore marié
omporwè    irrévérencieux
omporwè    impertinemment
omporwè    à contre-cœur
omporwè    de mauvais gré
dyandj'osam̂u n'omporwè    faire quelque chose de mauvais gré
ompombo    nez
ompombo    museau
ornpom̂o    cap
ornpom̂o    pointe
ompovina    ruisselet
ompovina    petite rigole
ompovina w'ilèndè    une traînée de bave
ompovina w'aningo    un mince filet d'eau
ompozo    tout d'une pièce
ompozo    sans famille
ompozo    inhabité
ompozo    désert
eling'izó zi re ompozo    ta robe est toute simple
iguge ṉi re ompozo    la porte est d'une seule pièce
mbora mèyónó y'atigani ompozo    cet endroit est désert
ompulungu    creux
ompulungu    excavation
ompulungu    cale
ompulungu w'erere    le creux d'un arbre
kendj'igumba g'ompulungu    arrimer des marchandises dans la cale
ompuma    année
ompuma    saison
ompuma ombyani!    bonne année!
mi bogiz'ó mbolo y'ompum̂a om̂wona    je te souhaite une bonne année
ńando mèn'ido    le crocodile avale une pierre
ompuna    puanteur
ompuna    mauvaise odeur
ompuna    inconvenance
ompuna    indécence
ompuna    pressentiment
mi dyen'ó ompuna    tu me pues au nez
mi dyen'ompuna nè anwè be tagana ni boso    j'ai le pressentiment que vous vous brouillerez plus tard
ompundwè    bourbier
ompundwè    fange
erumbe zó are ompundwè wa sikamba    ton jeune frère est grossier dans ses paroles
igamba ṉ'ompundwè    une parole grossière
ompunga    vent
ompung'olèle    une brise légère
ompunga w'akambi    le vent se lève
ompunga w'adèli    le vent faiblit
ompunga w'akamba-gambi    le vent est fort
ompunga wi pèvina ni ngulu    le vent souffle fort
ompunga wi dyowuna ni nkèngó    le vent souffle doucement
ompunga wi byena zwè g'owandja    nous marchons vent de côté
ompunga wi bya apa    le vent vient par sautes
azw'adenga ompunga ombya    nous avons eu une bonne brise
otangani akè bóngi ompunga go ntȼe yè    l'européen est allé respirer l'air natal
ompunga g'ozègè    prendre l'air
ompunga-vungè    vent fort et sec qui annonce le début de la saison sèche
egombe z'ompunga-vungè zó zinó    nous voici au commencement de la saison sèche
ompurago    chose roulée en cylindre
ompurago wi tava    un rouleau de nattes
ompurwa-vurwè    variété de bananier-plantain dont le régime ne porte qu'une seule grappe de fruits disposés en tirebouchon
ompuzango    vif
ompuzango    emporté
ompuzango    fougeux
ompuzu    largeur
ompuzu    ampleur
onamba w'ompuzu    une étoffe large
mpónó yi re ompuzu    la route est large
ompuzu w'owaro    la largeur d'une pirogue
olówi winó wi re ompuzu ompolo    cette rivière est très large
mpónó yi re ompwe    le chemin est glissant
ompunga    vent
ompunga    brise
ompurago    rouleau
ompuzu    laize
ompwena    marée très basse
eningo z'apweni ompwena ompolo    la marée est très basse
omwa    poil
omwa    crin
omwa    laine
azw'awom̂wi gogo om̂w'onaga sayen'omwa    nous sommes arrivés là-bas à la tombée de la nuit, au crépuscule
omwasi    bois d'une guitare
omyènè    langue ou idiome des mpongwès
omyènè wazo wi mpongwè    notre idiome mpongwè
kamb'omyènè wi fela    parler le pur français
