ongonga    larynx
pyar'oma g'ongonga    saisir quelqu'un à la gorge
tov'ongonga    donner de la voix
ongosu-ngosu    très cruel
ongulu-ngulu    très fort
ongulu-ngulu    le tout-puissant
onguwa-nguwa    chef de guerre
ongya-ngya    bruit du tonnerre
ongya-ngya    éclat de tonnerre
ongwaï    canne à pêche
bèmba n'ontere    pêcher à la ligne flottante
onigi    saveur sucrée
onive    esclave
onîvisi    homme riche
onîvisi    maître
onîvisi    propriétaire
onîvisi    celui qui possède des esclaves
onkele-nkele    femme stérile
onkulo    caractère
onkwankwa    petite liane à tige cassante
onkwe    objet ou ustensile auquel il manque une partie
onkwe w'elasi    un verre sans pied
ngóï y'onkwe    un gilet
onkwe w'imógi    une cruche sans anse
onogisi    constructeur
onogisi    fabricant
onogisi    tisserand
onogisi    tisseur
onogisi    coiffeuse
onogisi w'inago    un constructeur de cases
onogisi w'imbuza    un fabri cant de filets
onogisi w'ibóngó    un tisserand
onogisi wi tava    une tisseuse de nattes
onoki    menteur
onoki n'oma wi sury'è avange na yè ndego    le menteur ne peut pas être l'ami de celui qui le connaît comme tel
epwe z'onókó    sorte de tabouret
onókó    petit bâton de manioc
inókó yi nambaga    de petits bâtons de manioc cuits à l'eau
onómbè    noir
itangani n'anómbè wi re ntȼina mo    les blancs et les noirs ont la même origine
onómbè    foncé
onom̂e    époux
onom̂e    stoïque
onom̂e olonga ni adam    le premier homme a été adam
onom̂'inóngó    un homme de l'intérieur
onom̂'wam̂i ayè mèwónó    voilà mon mari
onom̂e w'om̂wan'îwam̂i    mon gendre
ozino onom̂e    un merle métallique mâle
onom'onom̂ye    un vrai homme
onom̂yè    du côté droit
onóngó    constance
onóngó    persévérance
onóngó    genre
onóngó    espèce
onóngó    variété
onóngó    égal
onóngó    pareil
onóngó w'oma winó, mi ga lend'è sè?    que faire d'un individu de cette espèce?
onóngó w'omedu    toute espèce de chose
epèlè mèzónó zi re onóngó ni wè    cette assiette est seule de son espèce ou d'un genre à part
rere y'iga yi re onóngó g'onóngó    il y a une grande variété d'arbres dans la forêt
dingilya anóngó mi yóm̂a    distinguer les objets
dingilya anóngó mi yóm̂a    discerner les choses
g'onóngó w'awuyini myè wè dyao    comme je te l'ai dit hier
onóngónia    un barbare
ontèntè    chétif
ontèntè    gringalet
ontèntè    malingre
om̂wa winó are ontèntè    cet enfant est chétif
ontere    baliveau
ontere    opiniâtreté
ontere    entêtement
ontere    idée fixe
azw'adówa n'alówó m'intere    nous avons pêché à la ligne flottante
ontȼi    façon
kao ontei omo n'omo, o be kalun'ontei vye ?    toujours les mêmes manières, tu ne te corrigeras donc jamais?
ontei w'ibeka    un air d'harmonium ou d'accordéon
ontei w'ibeka    un air d'harmonium ou de guitare
ontei w'ibeka    un air d'harmonium ou de tambour
ontȼwa    corde
iyawana-anto wi dogwa ontewa    les petites filles sautent à la corde
ontinti    tiède
twa ontinti    devenir tiède
aningo m'ontinti    de l'eau tiède
ontum̂a    un des camps du jeu d' ibo
onuginyè    meneur
onuginyè    excitateur
onuginyè    boute-en-train
onugisi    rameur
onugisi    payeur
onumbu    lèvre
kambina n'inumbu, orèm̂a nkowa ṉènè    prier du bout des lèvres, en pensant à autre chose
kambana n'inumbu    se parler du bout des lèvres
inumbu y'apèmbwi vèmbó    il a les lèvres décolorées
onumbu w'imógi    le bord d'une cruche
finiz'onunibu    donner une réponse
onumbu-ngozo    genre de coquillage
onum̂una    dernier
owaro onum̂una w'agolo myè    la dernière pirogue que j'ai achetée
onungwano    aide mutuelle
onwenisl    guerrier
onwenisl    batailleur
fatera yinó yi zele n'oṉaga-ṉago wi kola    il n'y a pas de provisions à acheter dans cette factorerie
oṉaga-ṉago om̂wenge wi re g'ikasa    il y a beaucoup de vivres au marché
onaga-nago    mets
onaga-nago    victuailles
onaga-nago    vivres
onaga-nago    provisions
onago    sauce
onago    appât
onalè    éventé
alugu minó m'atweni onalè    cet alcool est faible
onambe    esprit d'un mort
onambe    âme désincarnée
pugo n'onambe    être sous l'influence d'un esprit
telangany'okongolya g'ompoinbana go sug'iṉainbe    placer une fausse canne à sucre en travers de la porte pour chasser les mauvais esprits
onantwè    gauche
ogó oṉantwè    le bras gauche
g'ozainb'oṉantwè    du côté gauche
onelele    giclement
oṉelele w'aningo wi kógwa g'ido    l'eau jaillit de la pierre
onemba-nemba    empoisonneur
onemba-nemba    jeteur de sorts
onemba-nemba    gage
onèna    grand collier de perles descendant jusque sur la poitrine
iṉèngè y'aba    pluies des mangues
onèngè-nèngè    petite plante grimpante à feuilles de lierre : médicinale et fétiche
onèngè    pluie fine
onikè    fatigue
onikè w'ogèndó    fatigue qui résulte d'un grand travail
koto n'oṉikè    avoir le corps moulu
onóga    indécence
onóga    obscénités
onóga    flirter
dyire lómbè y'oṉóga    tenir des discours obscènes
onolo    lasciveté
o re oṉolo ombe    tu es effronté
onongunya    abcès
onongunya    tumeur dans la région du bas-ventre
demb'opa    lutter corps à corps
nkala yi pare opaka    le village est encore en construction
opa    lutte
opango    talisman de bonne santé
oparapara    encombrement
oparapara    désordre
oparapara    encombrer
oparapara wi dyana atakwè    le manque d'ordre crée bien des difficultés
oparapara    difficulté
oparapara    complication
oparapara    gêne
oparapara    incommodité
iga mèṉónó ṉi re oparapara    dans cette forêt il y a un fouillis inextricable
mi dyen'ezango oparapara    je trouve l'étude bien difficile
osam̂u mèwónó wi re oparapara    cette affaire est compliquée
dyógó g'oparapara    être atteint aux parties
igala ṉ'atweni opata orevo    la cour est pleine de boue
igamba mèṉónó ṉi be dwana opatapata ompolo    il sera très difficile de tirer cette affaire au clair
itwe só si rè sipe    tes cheveux sont courts
onom̂e ope    un homme de petite taille
ogóli ope    une courte corde
opata    fange
opatapata    confusion
opelenge    bras
opelenge    biceps
opepa    course folle
opepa    galop
opepa    allure vertigineuse
kènda n'opepa    aller au galop
opepe    drageon ou rejeton de bananier
opepye    très petit
opepye    très court
oma wónó atuni du opepye    cet homme est très court
bóngin'oma yóm'iyè n'opitapito    prendre le bien d'autrui par fraude
oma mèwónó are opito ombe    cet homme est un grand tricheur
opóló    traîne
opóló    queue d'habit
w'apila go pilato n'opóló    ils sont revenus de libreville un peu éméchés
opombolo    arbre de marais
oposo    suffisance
oposo ompolo mèwónó w'ande rèti?    pourquoi tant de morgue?
opupu    blancheur
opupu w'onamba winó na wónó    cette étoffe-ci est plus blanche que celle-là
om̂wa winó are opupu    cet enfant est propre
om̂wa winó are opupu    cet enfant est soigneux
orago    liens
orala    boucan
orala    séchoir
talye wèrè g'orala    mettre du poisson à boucaner sur un séchoir
orala w'atanga    un gril
taly'oma g'orala go péz'è    mettre quelqu'un sur un séchoir pour le brûler
oralyo    chaussée
oralyo    talus
oralyo    remblai
taly'oralyo wi ntȼèngè    faire un remblai en terre
taly'oralyo wi nago    exhausser une case
taly'oralyo wi nago    remblayer une case
go dèng'ezóm̂a    faire tous ses efforts pour obtenir quelque chose
oramba    racine
oramba    croc-en-jambe
erere z'afeyi iramba    l'arbre a poussé des racines
orambirambi    grand pêcheur de coquillages, de crustacés et de petits poissons
orambo-ngórï    artère carotide
orambo-ntȼe    arbuste grimpant à fleurs rouges : le fruit sec est pourvu de cinq ailes membraneuses
orandano    précaution
orangaranga    buisson épineux qui pousse le long de l'ogowè
orango    serment
tang'orango    faire un serment
tang'orango    prêter serment
orangwarangwo    mélopée funèbre
orangwarangwo    élégie
orape    consistant
orara wi kènda ni nkawala    le galop du cheval
tawin'oma orawo    indemniser quelqu'un
my'adyandjni nwè mbyambye    je vous ai bien servi, dédommagez-moi de ma peine
tawin'aṉambyè orawo w'ipese    expier ses péchés
orèga    barrique
orèga    fût
