bobiz'owaro    aborder de flanc
tum̂'owaro ntum̂aga    aborder de front
dyov'owaro    vider une pirogue
dyeger'owar'otutu    chauffer un bateau à vapeur
owar'otutu wi ntȼe    chemin de fer
owatanga w'ikola    un navire de commerce
data g'owa tanga    accoster un navire
kwena g'owatanga    s'embarquer à bord d'un navire
sum̂a g'owatanga    débarquer d'un navire
dyir'oma g'owatanga    conduire quelqu'un à bord
kè datana n'oma g'owatanga    aller débarquer quelqu'un
owatanga winó wi re ngulu    ce navire tient bien sur l'eau
owar'otutu    bateau à vapeur
owatanga    navire
owatanga    vaisseau
erere z'afcyi idyavi    l'arbre a poussé des feuilles
owavi owónó    une feuille sèche, des feuilles sèches de bananier
dul'idyavi    arracher des feuilles
kómbun'idyavi    dépouiller une tige de ses feuilles
owavi alombine g'igono    la feuille reste moins longtemps sur l'arbre que sur le sol
owavi-tanda    poisson plat
owe    mal fait
owega    epaule
owegisi    homme qui abat des arbres
owegisi    bûcheron
owela    fosse à gibier
nkambi y'akweni g'owela    l'antilope est tombée dans la fosse
y'aposwi g'owela    l'antilope est tombée dans la fosse
owelano    fornication
owelano    adultère
owele    variété de canarium
owèló    peinture
owèló    peindre
owèló w'akoti g'ozira    la peinture a pris sur la cloison
owcna    pêche
chasse    pêche
owena w'iṉairia    la chasse
owena wi wèrè    la pêche
owena wi mbuza    la pêche à l'épervier
owena wi tum̂'imanga    la pêche aux lamantins
om̂wango dènge nkóla g'owena    l'enfant qui trouve un escargot à la chasse ne le mange pas seul
owenda wi kómbina    rasoir
owenda    ciseaux
owenda    tondeuse
owèndè    sujétion arbitraire
owèndè    opprimer les gens
owèndè    user de contrainte
owendja    journée
dwana omosa am̂endja n'am̂endja    rester des journées entières à ne rien faire
owendja wi kómbize ṉondo    il n'est pas loin de midi
owendja w'atweni ṉondo    il est midi
owendja w'adyendjil ogèlè    romb'okuwal
owendja wi sawya-zawya    il y a des éclairs
owendja wi kamba    la foudre éclate
owendja wi re rómbè-rómbè    le temps est à la pluie
owèngè    plein de lui-même
owèngè    prétentieux
owero    essence d'arbre dont le bois dur sert à faire des casse-tête
owero    loganiacée
owirîsi    pacificateur
owirîsi    celui qui calme les différends
owólè    mouche tsé-tsé
owolisi    joueur
owolisi wi ngóm̂a    un joueur de tambour
owombo    obésité
owombo    bedaine
owombo    panse
owónde    mûr
olonda owónde    un fruit mûr
owóndó    détonation
ogum̂a owóne    du manioc pourri
owóngó    semence
owóngó    progéniture
bèn'owóngó go ntȼaga    ensemencer un jardin
ntȼe y'owóngó    un terrain fertile
kus'owóngó    faire souche
pagne    tissu en fibres de raphia
owóngóló    pensif
owóngóló    mélancolique
owongune    enfant élevé par des personnes autres que son père et sa mère : pupille
owongune    esclave acheté tout jeune et élevé par son maître
owonowono    arbre de forêt qui donne un bon calorique
owonowono    euphorbiacée
owónwè    liège des antilles
owónwè    arbuste buissonnant à belles fleurs d'un jaune orangé : bois tendre et léger, fibres textiles
dyokun'ibónwè    extraire les fibres de cette plante
pizin'ibónwè    corder les fibres d' owónwè
owonyawonya    papillon de nuit
kènda n'owóró    marcher avec indolence
anw'are awóró ambe    vous n'avez pas de nerf
owowa    plumage
swa ibowa    plumer une poule
dula ibowa si ndjógóni    plumer une poule
bóra ibowa    se parer de plumes
owundakano    gaspillage
owunu    arbre dont les larges feuilles servent à couvrir les cases
owura    arbre dont les fruits comestibles, à saveur vineuse, viennent en grappes rouges sur le tronc : vulgairement raisin pahouin
honda y'owura yi re batabata g'erere    les fruits de y owura adhèrent au tronc
owutano    recherche mutuelle
oyakïlyo    marches fréquentes
oyakïlyo    voyages répétés
oga are oyaleyale n'anaga    le chef est affable vis-à-vis de tout le monde
oyamba    arbre à fruits ovoïdes dont les graines servent de grelots ou de castagnettes
oyandjisi    manœuvre
oyandjisi    travailleur
oyandjisi    ouvrier
om̂wanto wó oyandjisi    ta femme est une travailleuse
oyangayanga    ibis brun-gris
oyango    température
oyango    climat
oyango    considération
oyango wi ntȼe yinó wi zèle n'ogandaga    le climat de ce pays est malsain
oyango wi ntȼe w'atóndin'è    il s'est acclimaté
onom̂e winó adubwi g'oyango    cet homme a perdu sa considération
onom̂e winó azele n'oyango ṉènè    cet homme a perdu sa considération
oyanisi    femme féconde
oyanisi    accoucheuse
oyara    silure à corps comprimé et large ventre
oyawa    evacuation alvine
oyawa    liquide
oyawa    fruit de l' orèrè
oyaya    arbre à pain d'afrique
oyègèyègè    trépidations
oyègèyègè w'owar'otutu    les trépidations d'un bateau à vapeur
oyegina    botte
oyegina    faisceau
oyegina w'agónga    un faisceau de sagayes
oyèkèlyo    jugement
feyo g'oyèkèlyo    être appelé en justice
oyèkèlyo onum̂una    le jugement dernier
oyèkèlyo w'anaga waodu    le jugement dernier
oyembisi    chanteur
oyembisi    qui aime à chanter
oyembo    cantique
oyembo    chanson
am̂enga m'idyembo ambya    de jolis chants
dow'oyembo    faire un solo
ndowini y'oyembo    un couplet
ndyiviri y'oyembo    le refrain
dyivir'oyembo    chanter le refrain
idyembo s'aṉambyè    des chants d'église
idyembo si nago y'aṉambyè    des chants d'église
datana g'oyenano    avoir une entrevue
oyèngè    herbe coupante et grimpante, à tige triangulaire, acérée comme une lame de rasoir
ngwèy'oyèngè    herbe coupante, à port droit: pousse dans les marais
oyèngè-ompolo    herbe coupante, à port droit: pousse dans les marais
oyigo    héritage
oyenano    entrevue
oyila    palmier à huile ordinaire
ntèndè y'oyila    un plant de palmier
olóng'oyila    un palmier à stipe élancé
oyila wi nkóm̂a    variété de palmier
oyila w'ovèï    autre variété
okogo w'oyila    une feuille de palmier
okogo w'oyila    une palme
sónó yi paro isógó y'ambila    le dimanche des rameaux
esónga z'oyila    choupalmiste ou bourgeon terminal du palmier
kak'oyila    débarrasser un palmier de ses feuilles
oyindano wó n'oma mèwó mi 'tónda wo    je n'aime pas à te voir fréquenter cet homme
g'oyindano wam̂i na wè    depuis que je suis lié d'amitié avec toi
oyindano    familiarité
oyindano    fréquentation
oyingo    padouk africain
oyingo    bois d'ébénisterie et de menuiserie, exploité autrefois sous forme de petites bûches : poudre employée comme remède et comme colorants indigènes
oyînîsi    danseur
oyînîsi    danseuse
oyino    danse
oyingîsî    médecin
oyingîsî    infirmier
oyogo    honnêteté
oyogo    probité
oyogo    générosité
rè-kadyè are oyogo ompolo    un tel est un honnête homme
oyogwama    honnête homme
ayogo w'anaga    des hommes honnêtes
ayogo w'anaga    des hommes probes
ayogo w'anaga    des hommes dignes
oyóle    austère
oyóle    insensible
om̂anga oyóle    un noyau dur
oyembo oyóle    un chant difficile à exécuter
oyombano    mariage
oyombo    polygamie
oyómbó    huile parfumée
oyómbó    pommade
oyómbó    eau de lavande
ṉèṉ'oyómbó g'itwe    se parfumer les cheveux
oyómbó w'anundji mbora yodu    l'odeur de la pommade s'est répandue partout
owavi oyom̂e    une feuille sèche, des feuilles sèches
oyom̂o    fumé
oyom̂o    boucané
ogómbè oyom̂e    un poisson rouge fumé
oyonano    massacre
oyonano    meurtre
oyóndó-yóndó    femme de mauvaise vie
dyira oyóngayóngo    servir à boire
tèka oyóngayóngo    servir à boire
oyonisi w'anaga    un tueur d'hommes
erumbe zó are oyóniyóni    ton jeune frère a un caractère enjoué
oyongayongo    rapiècement
oyóngayóngo    breuvage
oyonguno    souvenir
oyonisî    meurtrier
oyonisî    assassin
oyono    homicide
oyoro    aise
oyoro    bonne santé
azele ṉènè n'oyoro    il ne va pas très bien
oyowe    eau-de-vie
oyowe    alcool
oyuguyugu    encombrement
owatanga are oyuguyugu ompolo    un navire est toujours encombré
rè-kadyè abya n'oyuguyugu om̂wenge    un tel est venu tout encombré d'objets
lubwa mèvó n'oyunge wó !    va-t-en d'ici, espèce de gueux !
tata-mpolo atweni idyuwe pû    grand-papa a les cheveux tout blancs
atweni kange n'idyuwe    grand-papa a les cheveux tout blancs
oyuwi    personne décédée
ozózó w'oyuwi    palabre à l'occasion d'un décès
ozaï    une grande chevelure
ozaï om̂wenge    il a une belle chevelure
oyunge    pauvre hère
oyuwe    cheveu blanc
ozakilya    bois mort
ozakilya    personne décédée
ozakilya    serpent
ozakilya    phasme-géant
bónginy'isakilya    ramasser du bois mort
ozamba    côté
ozamba    paroi
g'ozambo-olówi    sur la berge
g'ozambo-olówi    sur la rive
g'ozambo-mbene    sur la berge
ozamba    de l'autre côté
ozamba    d'un autre côté
ozamba    à côté
izamba y'ozira    les côtés d'un mur
ozamba w'imógi    les parois d'une cruche
g'ozamb'om̂wènè    d'un autre côté
pondja g'ozamba    frapper à côté
pondja g'ozamba    manquer une cible
dyógó o re n'orèm̂a wi ngosu    si tu as le cœur cruel, laisse-le de côté
velani myè iṉ'isam̂i g'ozamba    mettez ma ration à part
g'izamb'imbani    de part et d'autre, des deux côtés
my'abya g'ozamba wi rer'iyam̂i    je suis venu de la part de (au de) mon père
bóng'okita wodu wi ndambo g'ozamb'iwè    accaparer
bóng'okita wodu wi ndambo g'ozamb'iwè    monopoliser tout le commerce du caoutchouc
ozandja    anguille de mer
ozandja    congre
ozandja    murène commune
ozandja    anguille tachetée
ozandja    anguille noire
ozandja    poil long et rude
ozandja    soie
ozandja    crinière
izandja yi ngowa    les soies du porc
izandja yi nkawala    la crinière du cheval
izandja yi mbwa y'akum̂ani    le chien a redressé les poils de son cou
ozandjo-nkombe wi nkombe    un rayon de soleil
nkombe yi tum̂a izandjo yè go ntȼe    le soleil darde ses rayons sur la terre
ozangavaza    arbre aux foliotocols : feuilles frissonnantes
nkóli y'ozangavaza    un collier de petites perles blanches
ozandjo    rayon
ozange    clarté
ozange    publicité
ozange    divulgation
ozange    un secret
ozange    civilisation
ozange    bonne éducation
ozange wi nkombe    la lumière du soleil
ozange w'om̂anda    la clarté du jour
tev'anaga ozange    éclairer les gens
tev'anaga ozange    instruire les gens
mpongwè w'apakili go dèng'ozange    les mpongouès commencent à se civiliser
ozangilya    arbre rudéral, à bois blanc et à fruit comestible
ozavino    bénédiction
ozavino w'aṉambyè    la bénédiction divine
ozavo    malédiction
saz'ozavo    lever l'interdit
saz'ozavo    lever la malédiction
dyovun'ozavo    lever l'interdit
dyovun'ozavo    lever la malédiction
dur'ozavo w'aṉambyè g'okuwa    s'attirer la malédiction de dieu
sal'izaya y'onamba    effilocher
sal'izaya y'onamba    faire de la charpie
ozègè    rivage
ozègè    grève
ozègè    plage
ozègè    banc de sable
sum̂a g'ozègè    atterrir au rivage
sony'igumba g'ozègè    débarquer des marchandises sur la plage
ozèlyo    raillerie
ozendje    arbre à beurre du gabon : on retire de sa graine une sorte d' odika
ozèndo    gratification
dèng'ozèndo    recevoir une gratification
ozènènè    coquillage
dów'isènènè    pêcher des couteaux
ozènènè w'aningo    un jet d'eau
ntȼina yi kógwa ozènènè    le sang jaillit
ozèngèzèngè    arbre de haute futaie
ozèngino    manière de se raser
ozèngino    mode de se raser
ozèngino w'iminisè    la tonsure cléricale
ozènisi    celui qui fabrique des talismans, des philtres
ozèno    coin pour fendre le bois
ozèvyè    arbre dont les graines servent de grelots aux pieds des danseurs
ozèwè    cuiller
ozèwè    cuillerée
ozèwè w'ayogo    cuiller en bois
ozèwè w'erere    cuiller en bois
