savina    bénir
savin'oma ibótó    bénir quelqu'un
savin'oma ompum̂a ombya    souhaiter à quelqu'un une bonne année
savuza    se couvrir
savuza    s'envelopper
savuza    couvrir
savuza    emmailloter
savuz'efu    s'envelopper dans sa couverture
sawalya    diffamer
sawalya    décrier
sawalya    dénigrer
sawaly'oma n'oma    perdre la réputation de quelqu'un
wange nkombe y'asawuna    je viendrai
sawya    faire des éclairs
owendja wi sawyazawya w'atweni go sawyazawya    les éclairs se succèdent avec rapidité
wi re kao nsawyazawyaga    les éclairs se succèdent avec rapidité
sawya    remuer les sourcils
owendja w'asawya nènó    il a fait des éclairs ce matin
ndjina yi sawyazawya'ozo    le gorille remue les sourcils
saya    éprouver de la confusion
saya    essuyer un affront
saya    avoir honte
te voilà bien attrapé! my'asaye nsayini mbe    j'étais tout confus
saya ni nteóni    être tout honteux
my'asaye nsayini mbe    j'étais tout confus
sayiz'oma    faire honte à quelqu'un
sayiza    couvrir de confusion
sayiza    faire affront
sayiza    faire honte
sayina    appréhender
ntè sayina myè mbene!    oh! que j'ai peur de l'eau
azayin'idyuwa    ne crains pas la mort
sayin' okaso-nguwu    redouter le fouet
sayirya    muer
sayona    se tuer
sayon'okuwè    se suicider
sayuwa    se tuer
sayuwa    se suicider
saza    effacer
saza    biffer
saza    raturer
saza    ruiner
saza    détruire
saza    démolir
saz'ipese    effacer les péchés
saza za    effacer complètement
saz'onamba    enlever son pagne
saze nago    démolir ou démonter une maison
saz'ompavo    changer là la toiture
saz'om̂wandja-m̂wandja    changer là la toiture
saz'ogomba    détruire une palissade
saz'ogomba    renverser un mur de clôture
ompunga w'asazi vindi    le vent a dissipé les nuages
saz'egunu    laisser tomber sa colère
saz'egunu    laisser tomber sa mauvaise humeur
saze ngambi g'orèm̂a    oublier son ressentiment
saz'ańandi    chasser la tristesse
saz'ipikilya ibe    chasser des idées noires
saz'ipikilya ibe    chasser de mauvaises pensées
sazan'inkom̂a    se réconcilier
zazina myè irèndó mèyónó yodu    efface-moi toutes ces lettres
my'asazino igom̂i ṉ'idólè    j'ai touché cinquante francs
sazana    se réconcilier
sazina    effacer pour
sazangana    etre dérangé
sazangana    se soulever
nago y'asazangani    les pailles de la toiture ont été soulevées
ompavo w'asazangani    les pailles de la toiture ont été soulevées
sazangana    être ravagé
sazangana    ravager
sazangana    causer des dégâts
oda w'asazangano n'indjógu    la vieille plantation a été ravagée par les éléphants
ompunga w'asazangani ompavo    le vent a soulevé les pailles
ingowa s'asazangani edinga z'igum̂a    les cochons ont fait des ravages dans la plantation de manioc
sazanganya    bouleverser
sazanganya    mettre sens dessus dessous
sazimbya    calmer
zazimby'orèm̂a    calme-toi
sazo    de nous
sazo    à nous
ompavo wodu w'asazwi du sazo    toutes les pailles du toit sont entièrement détachées
inago sazo si zele siṉango    nos maisons ne sont pas petites
ite sazo    nos lattes de raphia
wi re itwe sazo    ils ont les cheveux en désordre
sazwa    se défaire
sazwa    se détacher
sazwa    être en désordre
sazwa    mettre en désordre
impogo si re kao nsazunag'ompavo    les rats rongent continuellement les pailles
sazun'itwe    laisser les cheveux en désordre
iṉare se ?    quels bœufs?
seni?    redoublé : où ?
sazuna    défaire
