sukum̂y'osam̂u    préciser un fait
zukum̂ya agamba mi kambondó kóró kwanga    quand tu parles, précise bien ce que tu dis
sukum̂ye ntango n'anóngó m'ipese    spécifier le nombre et l'espèce des péchés
abuya nè e kènda go mandji    il a dit qu'il allait à mandji, sans dire lequel
sula    s'achever
sula    se terminer
sula    se consumer
ewilo z'asuli du vya    l'ouvrage est entièrement terminé
sula    ne pas cesser de
sula    ne pas se retenir de
nago yi pa sula    la maison n'est pas achevée
ogóli wi lambi w'asuli    la mèche est finie
wi sulaga go dyom̂ana    ils ne peuvent pas rester sans se disputer
wi sule dyom̂ana    ils ne peuvent pas rester sans se disputer
mi sule pona wao    je ne manque jamais de les regarder quand ils passent
ntȼe yinó yi sulaga ni vunga    il y a toujours des épidémies dans ce pays
agamba m'awuyondó m'asuli    ce que tu as dit s'est accompli
suliz'ewilo    achever un travail
sulize nago    achever la construction d'une case
sulize nkambi    achever une antilope
onèm̂è wi ngani azulizo    il est difficile de connaître à fond une langue étrangère
suliz'ompangano    accomplir sa promesse
z'amani du sulè    l'ouvrage est complètement terminé
sulè    dis-moi absolument tout
va myè agamba modu    dis-moi absolument tout
sum̂a    aborder
sum̂a    descendre à terre
owaro w'asum̂i g'ozègè    la pirogue a accosté au rivage
akóndó w'asum̂i g'ikasa    il y a un arrivage de bananes au marché
putu wao iunge sum̂i go ntȼc-mpongwè    les portugais abordèrent les premiers au gabon, orungu w'asum̂e ṉumbe mbani gore oga, g'oiamba, deux pirogues des oroungous sont descen dues chez le chef, à glass
sum̂o n'indjèki    avoir des rides
sum̂o n'atindi    être atteint d'éléphantiasis
sumbu    plomb
dira ga sumbu    lourd comme du plomb
olonga wi sumbu    une barre de plomb
kóm̂in'isumbu go mbuza    mettre des plombs à un épervier
sumbu    à l'improviste
sumbu    subitement
g'awom̂unondè bom̂unondè    il arriva soudain
g'awye bom̂unondè    il arriva soudain
datana sumbu    se rencontrer subitement
dyenana sumbu    se rencontrer subitement
sum̂îna    descendre
sum̂ina go ntȼe    descendre en bas
sum̂ina go ntȼe    descendre à terre
sum̂ina avila g'igono    descendre d'en-haut
sum̂ina g'erere    descendre d'un arbre
ifatu si sum̂ina myè g'agolo    mes chaussettes tombent sur les talons
orèm̂a w'asum̂ini myè sègèrè    je suis complètement rassuré
iṉa s'asum̂ini myè    j'ai bien digéré
sum̂ino n'agènda    recevoir chez soi des étrangers
sum̂mya    congratuler
sum̂mya    féliciter
sum̂mya    louer
sum̂mya    parler en bons termes de
sum̂inya okuw'è    se louer
mi sum̂iny'ó nè om̂'anogi nago mbya    je te félicite pour la belle maison que tu as construite
itangani wi sum̂iny'oga mèwónó polopolo    les européens parlent de ce chef en très bons termes
sum̂ó    acharné
sum̂ó    opiniâtre
n'ewilo mèzónó    ton père est acharné à ce travail
ni bele denda osam̂u mèwónó    ces gens-là tiennent absolument à faire cela
igamba im̂óri kao sum̂ó, sum̂ó, yenó sè ?    tu ne démordras donc pas de cette idée?
suna    piquer
suna    pincer
disu yi suna    la chique pique
nango yinó yi suna    ce médi cament est caustique
iwum̂u ṉi suna    j'ai des douleurs intestinales
om̂eno wi suna myè    le doigt m'élance
nkaninonda yi suna zû zû, zû   mon panaris me fait éprouver des élancements douloureux
