rombina myè wulu mèyónó    enlève-moi ces balayures
tombiz'inamba yi re g'om̂wèï    faire enlever des pagnes qu'on a mis à sécher
tombina    enlever
tombina    lever
tombina    soulever
tombina    se presser
tombina    s'agiter
rombina    se presser
rombina    s'agiter
ningo y'aposwi, rombinani agolo    il pleut, pressez le pas
tombin'ogèndó    se mettre en marche
ikewa yi tombin'elende    les vagues soulèvent le canot
tombin'adyuka    ramasser des vieilleries
tombin'igamba    soulever une affaire
tombin'igamba    la mettre sur le tapis
tombin'igamba    entamer une question
tombare-pa    excepté
tombare-pa    sauf
tombare-pa    hormis
móngi yam̂i waodu w'adyuwi, tombare-pa kao mbal'wam̂i    tous mes parents sont morts, sauf mon oncle
tómbya    suinter
ozira wi tómbya    le mur suinte
ezanga zi tómbya    le sel est tout humide
nkèï yi tómbiz'ozira    l'humidité fait suinter le mur
tónda    fruit comestible de la forêt
tónda    aimer
tónda    vouloir
tónda    consentir
o tónde ṉa, ko tónde dyandja    si tu aimes à manger, il faut aimer à travailler
tónd'oma ngulu vya    aimer quelqu'un de tout son cœur
my'atóndi polo go dyen'ó    je suis très content de te voir
róndanani, anwè n'anwè    aimez-vous les uns les autres
my'atóndinó ni ndaga mèyónó    j'ai été heureux de te voir agir ainsi
ezanga zi tóndina myè    le sulfate de soude me fait du bien
tóndy'okuwa    satisfaire ses passions
tóndy'okuwa    satisfaire ses instincts
yandjina myè ewilo zinó    fais-moi ce travail
tonde    se donne la peine
tonde    être agréable à
tonde    faire plaisir à
arónde bya    inutile de venir
m'be tónde kènda gogo    il est inutile que j'y aille
olonda wi tónde ṉo    un fruit bon à manger
tondom̂ina    se redresser
tondom̂ina    foulée aux pieds
tondom̂ina    se ressaisir
tondom̂ina    ne pas se laisser abattre
tondom̂ina    se révolter
tondom̂ina    se rebiffer
tondom̂ina    regimber
tondom̂ina    se cabrer
tondom̂ina    enfler
tondom̂ina    gonfler
ogó w'afè tondom̂ini    voilà que le bras a enflé de nouveau
tóndina    etre satisfait de
tóndina    être bon pour
tóndya    faire plaisir à
tóndya    gratifier
tóndya    récompenser
tóndyana    se faire plaisir mutuellement
tonga    hennir
tonga    barrir
tonga    crier
tonga    pousser un cri
tonga    jeter un cri
tonga    siffler
tonga    corner
tonga    soufller dans un instrument à vent
tonga    sonner de la corne
ṉare yi tonga    le bœuf beugle
tong'ogozi    jeter un grand cri
om̂amba wi tonga    le serpent siffle
sóla    la balle siffle
tong'ombanda    sonner de la corne
tóngina    désirer
tóngina    convoiter
tóngin'iṉa    regarder manger avec convoitise
tongo    pièce de bois
tongo    portemanteau
tongo    bossoir
tongo yi simbye ṉilo    bossoir d'ancre
tongola    rouler
tongola    avoir du roulis
owatanga wi tongola    le bateau roule
tongunya    ressusciter
tongunya    ramener à la vie
tongunya    se lever
tongunya    apparaître
tongwa    ressusciter
tongwa    revenir à la vie
tongwa    reprendre connaissance
tongwa    ramener à la vie
tóngwa    se lever
tóngwa    paraître à l'horizon
tóngwa    surgir
tóngwa    apparaître
tóngwa    s'amener
ogwèli w'atónguni    la lune se lève
atóngwi owatanga g'orónga    un navire paraît au large
ogwèli w'atónguni    le soleil, la lune se lève
wao wó tóngunya    les voilà qui s'amènent
tora    transporter
tora    déménager
tora    déloger
tora    émigrer
tora    quitter son pays
tora    abandonner son village
tora go ntȼe    quitter son pays
tora go nkala    abandonner son village
tora go nago    déménager d'une case
w'atori g'ilako yodu rore, rore, rore    ils ont abandonné tous les campements
enenga w'arori g'okandè    les enengas ont émigré du pays okandè
egara zi tonne ntȼèngè    caisse qui sert à trans porter de la terre
ntȼone yi tonne yom̂a    une charrette
ntȼone yi tonne yom̂a    une brouette
m'be torin'ó nago yinó    je quitterai cette case à cause de toi
toriz'am̂ana    faire porter des briquettes de charbon
toriz'oma go nkala    être cause de ce quelqu'un quitte son village
torarora    être nomade
torarora    changer souvent de village
toriza    faire porter
toriza    faire déménager
tósa    déprécier
tósa    critiquer
tósa    railler
tós'oma    critiquer quelqu'un
tóta    tremper
tóte mpèmba g'om̂wèmbó    tremper du pain dans la sauce
tót'ogum̂a g'ezanga    manger mon manioc avec du sel
tótè    de l'autre côté
tótè    par-dessus
iwóió tótè    de l'autre côté du marais
dalya go ntȼe móri tótè    se transporter sur la rive opposée
ido ṉ'apungo myè ṉ'anóge nago du tótè    la pierre que j'ai lancée a passé par-dessus la case
tótó    bien portant
tótó    un peu mieux
m'akè dendagi kwè ga tótó    les jambes vont un peu mieux
