bwakuna    casser la croûte
azw'aduo azwè bwakuna    nous étions à table
bwanganya    arrivé
bwanganya    étant arrivé
myè bwanganya gogo g'ayeni myè yè    y étant arrivé, je le vis
myè gogó bwanganya g'ayeni myè yè    y étant arrivé, je le vis
bwata    toucher de la main
bwata    tâter
bwata    palper
bwata oma g'okuwa    toucher quelqu'un
bwatawata    tâtonner
bwatawata    chercher en tâtonnant
bwatawat'iguge    chercher la porte en tâtonnant
bwe    dégagé
bwe    non obstrué
bwe    ouvert
mpónó yi re bwe    le chemin n'est pas obstrué
iguge ṉi re du bwe    la porte est grand ouverte
bwe    clairement
bwe    distinctement
mi dyena du bwe    je vois clair
bwè    mort
yuwa bwè !    meurs !
yuwa bwè !    crève donc !
ndjina bwè    le gorille est mort
ntȼigo bwè    le chimpanzé est mort
nkèm̂a abóng'iṉanga    le macaque leur succède
idyomba bwè kao g'idyuwa    le mariage n'est dissous qu'à la mort
bwè    sans force
bwè    atrophié
my'atweni agolo bwè    j'ai les jambes faibles
bwèbwè    semblable
bwèbwè    ressemblant
are bwèbwè g'azwè    il est absolument comme nous
o denda myè yenó bwèbwè ko bètè nè om'om̂wènè    tu me traites absolument comme un inconnu
o denda myè yenó bwèbwè ko bètè nè my'aranga om'iwó    tu me traites absolument comme un inconnu
bwegeze    entièrement ouverte
tige nago bwegeze    laisser la maison entièrement ouverte
kamba ni bwiti    prier le bwiti
bwiti    danse se rapportant au culte du bwiti
dyine bwiti    danser le bwiti
bwiti    société secrète des initiés du bwiti
dyingina go bwiti    être reçu dans le bwiti
bya    venir
bya    arriver
yogo nègaṉèga    viens vite
zunge bye    viens vite
myè vónó mbyagaga    je ne fais que d'arriver
bya    devenir
e bya om'ompolo    il deviendra un bel homme
o bye mbato    tu seras avare
bya    promettre
bya    donner des espérances
om̂wa winó e bya    cet enfant promet
anaga wi mbyagaga    des passants
anaga wi mbyagaga    des gens nouvellement arrivés
byen'oma g'igówi    venir attaquer quelqu'un
byeza anaga awenge    faire venir une foule de gens
byeza anaga awenge    convoquer une foule de gens
byambyakala    étendu mort
byambyakala    raide mort
myè ngowa igónga po ngowa dè byambyakala    ayant transpercé le sanglier de ma sagaie, il tomba raide mort
byanga    daurade
byanga    poisson de haute mer
byeri    crânes d'ancêtres conservés dans une boîte d'écorce
byeri    fétiche pahouin
byô    roter fort
byoge mbyogo byô    roter fort
byó    manger gloutonnement
byó    avaler gloutonnement
mèn'iṉa byó    manger gloutonnement
mèn'iṉa byó    avaler gloutonnement
dyónge ńango byó    prendre une potion sans la moindre répugnance
byoga    roter
byoga    avoir des renvois
byókó    à toutes jambes
dyirana g'iga dè byókó    s'enfuir à toutes jambes dans la brousse
ayè g'iga dè byókó    il s'enfuit à toutes jambes dans la brousse
da    au bras
nkoro y'ata myè g'ogó da    le cent-pattes m'a piqué au bras
da    goutte à goutte
aningo mi twezina go ndèkè da    l'eau tombe goutte à goutte sur le plancher
dadyè    seulement
aṉambyè are móri dadyè    il n'y a qu'un seul dieu
re aṉambyè móri dadyè    il n'y a qu'un seul dieu
daga    gémir
daga    se plaindre
daga    crier de douleur
mandé mèwó daga ?    qui est-ce qui gémit ?
dag'ewondjo    se plaindre de douleurs à la tête
dag'iwum̂u    se plaindre de douleurs au ventre
dag'okóngó    se plaindre de douleurs au dos
daga    miauler
daga    bêler
daga    crier
daga    hurler
dagalaga    s'inquiéter outre mesure
dagalaga    se frapper
dagina    soupirer
dagina    regretter
dagin'idyuwa    soupirer après la mort
e dagine dólè y'aperin'è    il regrette les cinq francs qu'il a perdus
dagina    convoiter
dagina    jalouser
dagina    porter envie
dagine ya yi ngani    convoiter le bien d'autrui
daka    guetter
daka    épier
daka    être aux aguets
pusi yi dak'impogo    le chat guette les rats
móngi mésónó wi daka myè g'igówi    ces gens-là cherchent une occasion de se battre avec moi
dakalaka    chercher à prendre en défaut
anwè dakalaka zwè polo    vous cherchez beaucoup à nous prendre en défaut
dalo    d'une rive à l'autre
daly'olówi dalo go ntȼe móri    traverser une rivière
daly'olówi dalo go ntȼe móri    passer d'une rive à l'autre
azwè olówi dalo g'azum̂i zwè    ayant traversé la rivière, nous débarquâmes
dalya    passer d'une rive à l'autre
dalya    franchir
dalya    traverser
daly'olówi mpokaga    passer un cours d'eau à gué
yogo dalize myè    viens me passer sur l'autre rive
dambe    ne pas tarder à
dambe    être sur le point de
m'be dambe kènda    je vais partir
meli yi be dambe dula    le paquebot est sur le point de lever l'ancre
my'alambe bole wè isapoga    je vais te donner une gifle
om̂w'onaga odika e dambage dyanginya    l'homme est comme l'odika, il ne tarde pas à fondre
dambilo    cachot à fond de cale
danda    passer sur
danda    passer au milieu
danda    traverser
dand'ikasa    passer sur un pont
dande nkala    traverser un village
dande orove    traverser une savane
dand'ika    être reçu au dernier degré d'initiation du ndjèmbè
danda    ramper
nkóngónó y'adanda myè g'ogolo    un mille-pattes a passé sur ma jambe
danda    nier
danda    renier
dand'igamba    nier une chose
dande ndego yi re kuga-pa    renier un ami pauvre
dande ndego yi re kuga-pa    méconnaître un ami pauvre
dandalanda    ramper
dandalanda    courir sur
mbwa yi dandalando n'igènè    les puces courent sur le dos du chien
dandalanda    nier souvent
dandina    disculper
dandina    justifier
dandina    témoigner en faveur de
dandin'oma inè e pa dyuîa    disculper quelqu'un d'un vol
dandin'okuwa    se disculper
dandin'okuwa    s'innocenter
dando    en pleine liberté
om̂wo-ndak'wam̂i adandwi du dando    mon neveu a recouvré sa pleine liberté
dandwa    recouvrer sa liberté
dandwa    se libérer
dandwa    s'affranchir
danduna    délivrer
danduna    racheter
danduna    affranchir
dandun'osaka    rendre la liberté à un esclave
dandun'okote    rendre la liberté à un captif
dandune punu    retirer un gage
dandune punu    retirer un otage
dasi    cadeau
data    rejoindre
my'adat'è mpó-gare    je l'ai rejoint à mi-chemin
data    aborder
data    accoster
owaro w'adati g'owatanga    la pirogue a accosté le navire
data    toucher
data    atteindre
ndjógu y'adato n'isani g'epoti    l'éléphant a été touché d'une balle à la tête
datana    se rencontrer
datana    s'assembler
anaga w'adatani g'igala ndjâ    les gens se sont rassemblés en foule dans la cour
datane nkóndó n'oma    aller en compagnie de quelqu'un
datana go mpónó    se rencontrer sur la route
okowa e'datana n'oma antȼó    un pygmée ne regarde jamais quelqu'un en face
datana    aller à la rencontre de
datana    aller au-devant de
gè datane n'agènda wó    va à la rencontre de ces visiteurs
datana    s'allier
datana    s'unir
datana    s'associer
pèlè yinó wani y'adatani du ta    ces deux assiettes sont collées ensemble
datan'egóngó    s'associer
datane ntumba    se liguer
datana    se mêler
datana    se mélanger
ṉanga yi datana n'agèï g'azo    l'eau salée et l'eau douce se mêlent à l'embouchure
datiza    assembler
datiza    associer
datiza    réunir
datiz'imba mbora mo    ramasser le maïs dans un même endroit
datiza    faire accoster
datiz'owaro g'owatanga    faire accoster une pirogue
datiza    joindre
datiza    unir
datiz'intȼóm̂è ta    joindre les deux mains
datiza    mêler
datiza    mélanger
datiz'ivè n'aningo    mêler de l'eau avec du vin
datiz'elinga    faufiler une robe
datiza    couper au jeu de cartes
dava    croître
dava    grandir
dava    s'allonger
dava    se prolonger
onom̂e wi dave !    que cet homme est grand !
epomba z'ogum̂a zinó zi ze dava-pa kwèkwè    ce bâton de manioc n'est pas assez grand
ozó wè w'adavi g'ompóï    son visage est allongé comme celui d'une bécune
daviza    allonger
daviza    prolonger
daviz'ikumbu    allonger des bretelles
daviz'ozózó    faire traîner un procès en longueur
daviz'inumbu    bouder
daviza    exagérer
o daviz'indjuke s'adyenondó    tu exagères les difficultés que tu as eues
dava    loin
dava    au loin
dava    dans le lointain
dyena dava    voir de loin
davadavye    de loin
my'adyen'è davadavye    je l'ai aperçu de loin
dawina    allonger le bras
dawina    essayer d'attraper
ntȼigo yi dawin'itótó    le chimpanzé essaie d'attraper la banane douce
