dólè    dollar
dólè mbani    dix francs
igom̂i ṉ'idólè    cinquante francs
nkam̂a s'idólè naï    deux mille francs
dolo    debout
lowe mbute dolo    mets la bouteille debout
kènda dolo    marcher le corps raide
dolo    fixe
dolo    qui ne change pas
dolo    insensible
dolo    impassible
mi kamba n'ayè are ozo wè dolo    j'ai beau lui parler, il reste insensible
kamba ozo wè du dolo    parler avec assurance, sans émotion
doma    faire à la légère
doma    faire au-dessus de ses forces
doma    s'improviser
dyandj'ikèngè ndomaga    s'improviser menuisier
o kambe fala ndomaga    tu veux parler le français sans le savoir
mpirinde ya dówadówa !    quelles profondes ténèbres !
nago yi ntȼogo yi re mpiri ya dówadówa    il fait noir dans la prison
ido ṉ'adyarwi mbwa    la pierre s'est fendue en deux
mbute y'adyarwi ogèla    la bouteille est fêlée
odo w'owaro wi re dyarwa-pa    le fond de la pirogue est fendu
dólè y'aniva    une valeur de cinq francs en marchandises
nago yi re g'orove dolo    la maison est campée au beau milieu de la plaine
tig'oma go mpónó dolo    abandonner quelqu'un au milieu de la route
myè ko tig'ó go ntomba dolo    si tu fais le fier à mon égard, je ne m'occuperai plus de toi
om̂wanto wi re n'ayè dolo    il n'a de femme attitrée qu'azizè
osuka azele n'onom̂e dolo    osuka n'est pas mariée
osam̂u e 'domo ndomago    on ne doit rien entreprendre à la légère
dombina    vieillir
dombina    grisonner
om̂w'onaga e mya isam̂u go dombin'è    l'homme s'instruit en vieillissant
alugu mi sunge dombiny'anaga    l'alcool vieillit les gens
domby'oma    abaisser quelqu'un
igumba ṉodu ṉ'adóm̂ini go mbene-ntȼe dómi    toute la cargaison est allée au fond de la mer
dóm̂ina g'iga dóm̂i    disparaître dans la forêt
domina g'ibe dóm̂i    s'enfoncer complètement dans le mal
dóm̂ina    s'enfoncer dans l'eau
dóm̂ina    s'engloutir
dóm̂ina    plonger
dóm̂ina    sombrer
dóm̂ina    disparaître
dóm̂ina    se ruiner
dóm̂ina    être en décadence
dóm̂ina    enfoncer
dóm̂ina    creuser profondément
dóm̂ina goregore    couler à pic
dóm̂ina g'iga    s'enfoncer ou disparaître dans la forêt
dóm̂inye nkavi    enfoncer sa pagaïe
dóm̂inya iwemba bo    creuser une fosse à une grande profondeur
dóndólya    flatter
dondwa    s'élever
dondwa    devenir haut
dondwa    culminer
nago yinó yi re ndondwaga    cette maisaon est très élevée
donga    précéder
donga    aller devant
donga    précéder quelqu'un
dong'oma ni boso    précéder quelqu'un
my'adonga ni boso    je pars le premier
dónga    profond
myè donge dyógó    c'est moi qui ai entendu le premier
dósa n'osam̂u    se tromper sur une question
dóti    saleté
dótya    salir
dótya    se salir
dowa    déposer
dowa    etablir
dowa    introduire
dowa    commencer
dow'oyembo z'oyembo    composer ou entonner un chant
dow'evanda z'oyembo    composer ou entonner un chant
dowe nago    construire une case
dowe nago    poser les piquets d'une case
dowe nago    jeter les fondements d'une maison
dowe nkala    établir un village
dow'am̂èngó    poser des pilotis
dowe ntȼilo    installer le fétiche protecteur d'un village
lowe ntȼwana go ntȼe    pose la marmite à terre
dow'iṉa go tavuru    servir la table
dow'ampanga    porter des prescriptions
dow'ampanga    faire des lois
dowé ntȼale    introduire une coutume
dowe mpaga    émettre un doute
dowe mpaga    douter de
dowe mpaga    contester
dowe mpaga    douter
dowe mpaga    contester une chose
dowe mpaga    poser une objection
dowine mbuza    commencer les premières mailles d'un épervier
dowine mbuza    commencer les premières mailles d'une senne
dowin'otondo    commencer un travail de vannerie
dowine ntȼozo go ntȼe    poser le bout du pied par terre
lowinani idoko ni ngulu    poussez vos perches avec force
dówa    pêcher à l'hameçon
dówa    se perdre
dówa    s'égarer
dówa    disparaître
dówa    mourir
dówe wèrè n'ilówó    pêcher du poisson à la ligne
om̂wo-ndak'wam̂i adówi g'isógó    mon neveu est parti chez les ishogos et ne revient plus
ogula adówi    ogoula est mort
dowalowa    haïr
dowalowa    détester
o dowalowa myè ntina ga ntina îó    tu me détestes sans cause
dowya    médire
dowya    dire du mal de
towya    médire
towya    dire du mal de
okweno lowya-lowye oma    okweno aime à dire du mal des autres
mboryedu    partout
egombyedu    à chaque instant
egombyedu    en tout temps
anaga dudu    tous les hommes
aba modu    toutes les mangues
