dyómbune nago pupupu    bien balayer sa maison
dyómbwiza    purifier
dyómbwiz'orèm̂a    réjouir quelqu'un
dyómbwiz'orèm̂a    contenter quelqu'un
dyómpa    boubou
egoro zi swaka    un fourreau de couteau
egoro z'igombe-gombe    un fourreau de parapluie
dyómbwa    blanchir
dyómbwa    devenir blanc
dyómbwa    propre
elèlu z'onèró winó z'adyómbwi   la barbe de ce vieillard est toute blanche
dyómbwize tavuru mbyambye    bien nettoyer la table
batèm yi dyómbwiz'irèm̂'iyazo    le baptême purifie nos cœurs
dyona    tuer
dyona    détruire
dyona    faire périr
dyon'oku'wèmè    se suicider
dyona    affaiblir
nango yino yi dyon'are    ce remède est un contre-poison
yi dyone ngulu y'are    ce remède est un contre-poison
dyona    casser
dyona    rompre
dyona    abolir
dyon'epèlè    casser une assiette
dyone ngulu    affaiblir
dyon'idyomba    rompre un mariage
dyone ndego    se brouiller
dyone ndego    cesser d'être amis
dyon'orunda    enfreindre un tabou
dyon'ivanga    transgresser une loi
my'akoli ombena wi dyonina myè iṉam̂a    j'ai engagé un chasseur pour me tuer du gibier
dyóna    rire
dyón'oma    rire de quelqu'un
dyóna antȼó lenya-lenya    rire aux larmes
dyóna n'irèm̂a imbani    rire à contre-cœur
dyón'akè mi ńandja    rire sans savoir pourquoi
dyón'akè mi ńandja    rire pour faire comme tout le monde
dyóna n'inumbu    sourire
dyón'akè m'ogando    être pris d'un fou rire
dyóndja    abreuver
dyóndja    faire boire
dyóndja    donner à boire
dyóndj'om̂wana iwènè    allaiter un enfant
dyóndj'oma akaza    faire boire à quelqu'un le poison d'épreuve
dyondwa    s'échapper
dyonga    joindre
dyonga    ajouter
dyonga    réunir
dyonga    rattacher
dyong'isono    nouer des lianes
dyong'ite    ajouter des lattes de raphia
dyonge pa    réduire une fracture
dyong'igolo    renchérir
dyonge ntango    majorer indûment une note
dyong'ompuzu    renchérir sur les paroles de quelqu'un
dyong'agamba mi ndyongaga    sortir du sujet
dyong'agamba mi ndyongaga    parler de choses qui ne se rapportent pas à la question
pa y'afe dyongani    les os se sont ressoudés
mandé adyóngina myè aningo m'atigo myè go mbute ?    qui est-ce qui a bu l'eau que j'ai laissée dans la bouteille?
mi ga vo aningo mi dyónga    donnez-moi à boire, s'il vous plaît
dyónga    boire à petites gorgées
dyóng'elasi z'ivè du kam̂a    vider un verre de vin d'un seul trait
okóndó w'adyóngi agali    le coton s'est im bibé d'huile
pepa yi dyónge inki    du papier-buvard
ntȼèngè y'adyóngi aningo    la terre a absorbé l'eau
ingongo ṉi dyóngina    une timbale
ingongo ṉi dyóngina    un gobelet
dyongmya    se rappeler
dyongmya    se souvenir
dyongmya    rappeler
dyongmya    faire souvenir
dyonginya ina ṉ'oma    se rappeler le de quelqu'un
ko dyonginya myè ndaga mèyónó mène    rappelle-moi cela demain
dyonguna    regretter
mi dyonguna nè gavónó mi 'denda yènó    je regrette d'avoir agi de la sorte
mi dyongun'ifura s'aveno myè dyao    je regrette l'argent qu'on m'a offert hier
dyóni    avant-hier
eva mèzónó zi dyonya sè ?    quelle est la contenance de ce vase ?
otondo w'adyoni n'imbenda    le panier est rempli d'arachides
zi re ralye    la mer est haute
zi re guguru    la mer est haute
agènda w'adyonyani go nago    la maison est bondée de visiteurs
dyora    se rassasier
dyora    être rassasié
dyora polo    trop manger
awana winó wi na    ces enfants ne mangent pas à leur faim
dyor'ewilo    être fatigué d'un travail
dyor'irówo    avoir assez des insultes
dyor'igug'iṉenge    être accablé de souffrances
akoko mi 'dyoriza anaga    les cannes à sucre ne rassasient pas
dyova    vider
dyovuna    laver
ntȼèngè yi dyovuno n'ozo    une cuvette
dyowa    démanger
ewondjo zi re myè kao ndyowa-yowaga    la tête me démange continuellement
okuwa wi dyowina myè    j'ai des démangeaisons
dyówa    se reposer
dyówiz'okuwa    prendre du repos o dyówiza du
yówizare móng'iyó    donne du repos à tes ouvriers
dyówuna    s'évaporer
owarotutu wi dyówuna    le bateau lâche la vapeur
dyówun'ibuku    être essoufflé
dyówun'ibuku    respirer avec effort
dyu    fortement
ndjègó akot'okwende wi ntori dèdyu    le léopard saisit fortement la queue du rat palmiste
poswa go mbene dyubu    tomber dans l'eau
ayuîe ya yi ngani    ne vole pas le bien d'autrui
dyuî'om̂wanto    séduire une femme
my'adyufa agamba am̂èwó g'akambaga wao    j'ai saisi quelques mots de leur conversation
dyuf'om̂wèï    respirer difficilement
dyuf'antȼóvinó    dormir très peu
dyuf'antȼóvinó    dormir mal
dyufan'akóndó    se voler des bananes
ge dyufine myè swaka yó    va me voler ce couteau
dyufin'ôm̂wana ifèra    tailler les ongles d'un enfant
dyugum̂ya    couver
dyugum̂ya    tenir des objets serrés dans ses bras
dyugum̂ya    faire mystère de tout
dyuka    fumer
dyuka    faire de la fumée
dyugum̂ya    exhaler
dyugum̂ya    dégager
dyugum̂ya    puer
my'ato dyuwa !    j'ai failli mourir
my'ato dyuwa !    je l'ai échappé belle !
ndjógóni yi dyugum̂v'ake    la poule couve ses œufs
are pèlè dyugum̂ya-pa    il tient des assiettes serrées dans ses bras
dyugum̂ye yóm̂a    tenir cachés les objets qu'on possède
ekum̂u z'owarotutu zi dyuk'otutu    la cheminée du bateau lance de la fumée
dyuk'ompuna    puer
ewago zi dyuk'okuwa wodu anango arevo    la mangouste sent mauvais
dyukiz'otutu wi nkewa    encenser
n'isègè y'iṉóndó    la décomposition des déchets de baleines empeste toute la plage
rere yinó yi re dyumba-dyumba    ces arbres sont très touffus
dyumbune yóm̂a yi re dyufopâ    cacher des objets volés
abongi mónda go dyumbun'okuwa    il a pris un talisman pour se préserver des mauvais sorts
wi dyumbwan'isam̂u yao    ils se cachent mutuellement leurs affaires
yurun'aningo g'elasi    verse de l'eau dans le verre
dyurun'otene    verser à moitié
dyurune ompavo    changer les pailles d'une case
pe dyute    payer l'impôt
dyute    taxe
dyute    impôt
nkani y'adyuwa n'ayè    la maladie dont il est mort
ng'iyam̂i atweni    ma mère est à la dernière extrémité
dyuwe ntenyaga    mourir subitement
dyuwa go ntȼe    se perdre inutilement
intȼozo sam̂i si dyingin'aningo    mes souliers prennent eau, ils sont entièrement usés
nago y'adyuwi    la case tombe en ruines
ikewa y'adyuwi ngulu    les vagues ne déferlent plus, lvovya ṉ'adyuwi ngulu, le courant de la chute n'est plus aussi rapide
ezango zi dyuwa enom̂o    les classes cessent pendant la saison sèche
ndego y'adyu wi    l'amitié est rompue
dyuwun'oma wi ngani    se dépenser pour un autre homme
dyuwun'aṉambyè ndjuke    se dépenser au service de dieu
dyuwuno n'anaga    perdre des parents
dyuwuno n'owaro    perdre sa pirogue
oga e benda    le chef se fâche
ewèrè z'adówo yè    le poisson qu'il a pris à l'hameçon est gros
zele, aranga yenó!    eh non! il n'en est pas ainsi
ebaba    collier
ebaba    assortiment
ebaba    garniture
ebaba z'ilonda    une large ceinture de perles
ebaba zi sika    une bordure en argent ou en or
ebaba zi galó    un galon d'officier
ebaba z'aroki    une garniture de boutons
ebaba z'imori    une garniture de bagues
ebagano    ressemblance
ebagano    apparence
yóm̂a yinó wani yi bele kènd'ebagano emo    ces deux objets ont quelque ressemblance
ebaka    plantoir indigène
ebako    jeu d'enfants
ebalasèngè    délateur
ebalasèngè    éclaireur
ebalasèngè    espion
ebanda    peau
ebanda zi ṉare    une peau de bœuf
ebanda zi ṉare    une peau de genette
tombe mboni ebanda    dépouiller un cabri
are ebanda zange    il a le teint clair
ebandanî    débauché
ebandasango    gratification
ebandjuna    tambourin
ebandjuna    interprète
otangani apa myè ebandasango    le blanc m'a donné une gratification
ebao    grand panier en feuilles de raphia
tum̂'ebao    fabriquer un panier de ce genre
ebasa    variété de mulet
ebasa z'ozwa    mulet des roches
ebata    tresse
ebata z'ogóli    une corde tressée
ebavara    morceau de bois
ntogo y'ebavara    supplice de la croix
ebaya    cadavre
are agó koro-pa g'ebavara    il a les bras attachés en croix
anango ebaya    une odeur cadavérique
ebende    cadavre
ebende    mort
ebè    feuilles tendres du taro
ebè    chou caraïbe
ebèba    marque sur le corps d'un animal
ebèba    bout de planche
ebèba    pièce d'étoffe mal mise à un habit déchiré
bèb'ebèba go ṉare    marquer un bœuf
bèb'ebèba go mbora    clouer un bout de planche à un endroit
adyuwe bende raro g'igówi    il y a eu trois morts dans cette guerre
tawa ebende    indemniser pour avoir tué quelqu'un
ebó    enclume indigène
ebó    chose faite en secret
dur'ebó    dérober
dur'ebó    prendre furtivement le bien d'autrui
sun'ebó    avertir secrètement quelqu'un
sun'ebó    annoncer en confidence
ebóbó    chose usée
ebóbó z'oma    un homme incapable
ebóbó z'oma    peu débrouillard
ebóbó z'owaro    une vieille pirogue
ebokaboka    chose mal faite
ebokaboka z'owaro    une pirogue mal faite
are dyuwa-pa ebokè    il ne peut se servir de ses jambes
eboko    bas de l'épine dorsale
eboko    croupion
ebola    musicien
ebola    qui joue d'un instrument
ebola nombi    guitariste
ebola zi ngoma    percussionniste
ebola z'ibeka    un oraniste
ebola-ngindji    étourdie
ebola-ngindji    qui brise tout ce qu'elle touche
ebola-ngindji    brise-tout
ebole    coup de poing
ebole    poing
bola oma ebole    donner un coup de poing
tèwa oma ebole    donner un coup de poing
nika oma ebole    donner un coup de poing
ebolikwara    un des surnoms de la lèpre
ebomanongo    esclave
eboma    poisson de mer
ebonda    embûche
ebonda    guetapens
ebonda    embuscade
bond'ebonda z'igówi    s'embusquer
bond'ebonda z'igówi    se mettre en embuscade
erere mèzónó z'aveyi ebongoṉo    cet arbre a poussé tout seul
ebubu zi yango    un rouleau de papiers
ebubu z'onamba    une pièce d'étoffe
ebubu z'ompavo    une botte de feuilles de raphia
va myè buke    donne-moi des preuves
eza z'om̂wanto zi re ebula-ndjombu    une femme de rien
ebunda z'okum̂e    une bille d'ocoumé
ebundjabundja z'okóga    un vieux tronc d'arbre abattu
bundukulu yi ṉóndó yi re g'ozègè ti-ge-ti    il y a des quartiers de baleine le long de la plage
tremblotante iṉoï ṉ'edègèlya    une voix chevrotante
itangani yi re idyembo sao èdègèlya erevo    les européens font trembler leur voix en chantant
om̂ongoli are didi yenge    le caméléon change souvent de couleurs
om̂wa winó azele edidi zi rer'iyè    cet enfant ne ressemble pas à son père
edidi z'erumbe z'adubwi    il n'a plus l'aspect d'un enfant
edidi zè z'aperi    il est défiguré
adyuwa n'edidi zè zodu    à sa mort son visage n'était nullement défiguré
edim̂a z'om̂wanto    une femme très belle
edim̂a    beauté physique
edîma    beauté
edimidimi    inexperimenté
edimidimi    naïf
edimidimi    ignorant
awè o re edimidimi    tu es seul à ne pas voir
edinga    champ
edinga z'imbenda    un champ d'arachides
edinga z'iguna    un champ de manioc
