aa    Oui
oun oun    Non
ya    Et
buri a we    Bonjour
bali a wè    Bali a wè
yo obuo    Bali a wè
Wèna?    Qui es-tu ?
Wè ima sa ?    Que fais-tu ?
Biè ima lissa ?    Que faites-vous ?
Wè lina yiè ?    Quand pars-tu ?
Wè lina tuo?    Quand arrives-tu ?
Wè lina ya ?    Quand arrives-tu ?
Wè kuni a yiè ?    Où vas-tu ?
Wè kuni fi ?    D'où viens-tu ?
Bwo buni assa ?    Comment font-ils ?
Diè buni assa ?    Comment fait-il ?
Muima ?    Pourquoi ?
Muima wè akina ?    Pourquoi danses-tu ?
Ima ?    Quoi?
Iloki tali kuё?    Ca coûte combien ?
Kuё?    Ca coûte combien ?
Diè kuni akala ?    Où habite-t-elle ?
Biè otsa nuru oviè ?    Comment allez-vous ?
Biè ima lidzi ?    Que désirez-vous ?
Biè litso lipuru ?    Parlez-vous français ?
Biè litso itio ?    Parlez-vous téké ?
Mè ka ko wo    Je ne peux pas
Ntsuë kua séi mè    Accompagne-moi
Tiono ognuo    Arrête-toi là
Da kuolikuoli a wè    Excuse-moi
Likièlè mè ognuo    Attendez-moi ici
Fuo mè ngo a wè    Montre-moi ta mère
Diè ya yon ali?    Est-elle enceinte ?
Diè ya ila ali ?    Est-elle enceinte ?
yuolo mè !    Au secours !
ai tala !    Attention !
kia wè ! mè kia    Silence !
iko!    Assez !
mara !    Va-t-en !
aï!    Douleur
lèrè    Heure
Ipali    Matin
tali ku ikakari ou midi    Midi
kukuolo    Soir
mpiu    Nuit
okia    Demain
antsio    Hier
oyila antsio    Avant-hier
mvula    Aujourd'hui
ontsa    Saison sèche
mwanga    Petite saison sèche
wa tson    Avant
ya    Avec
wa béa    Après
ola    Chez
kala kala    Depuis
ikakari    Entre
mu nkuo ki bolo    A droite
mu nkuo ki ikua    A gauche
iko    Assez
iloo    Beaucoup
ku kula    Devant
ku béa    Derrière
ku tsina    En bas
ku yulu    En haut
buabuéi    Ensemble
gna-bu    Ici
mu kuolo    Lentement
gna bu    Là
ku-la    Loin
mu ba    Maintenant
tsiin    Peu
gna tuë    Près
antso mué    Toujours
tson-a-tsoon    Tout droit
iluri    Trop
tsuä    Vite
tsuä-tsuä    Rapidement
mè dzala an yièlè wè    Affamé
iluli    Rassasié
iviè    Bon
ibi    Mauvais
obia    Laid
